video_id,frame_no,phase
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,23,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,24,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,25,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,26,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,27,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,28,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,29,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,30,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,31,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,32,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,33,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,34,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,35,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,36,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,37,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,38,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,39,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,40,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,41,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,42,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,43,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,44,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,45,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,46,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,47,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,48,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,49,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,50,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,51,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,52,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,53,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,54,preparation
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,55,downswing
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,56,downswing
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,57,downswing
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,58,downswing
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,59,downswing
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,60,downswing
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,61,downswing
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,62,downswing
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,63,downswing
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,64,followthrough
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,65,followthrough
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,66,followthrough
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,67,followthrough
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,68,followthrough
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,69,followthrough
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,70,followthrough
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,71,followthrough
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,72,followthrough
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,73,followthrough
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,74,followthrough
4cf6dde3-f462-4d7c-874f-cac17c62beaf_delivery_1,75,followthrough
