video_id,frame_no,phase
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,14,preparation
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,15,preparation
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,16,preparation
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,17,preparation
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,18,preparation
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,19,preparation
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,20,preparation
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,21,preparation
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,22,preparation
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,23,preparation
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,24,preparation
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,25,preparation
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,26,preparation
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,27,preparation
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,28,preparation
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,29,preparation
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,30,preparation
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,31,preparation
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,32,preparation
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,33,preparation
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,34,preparation
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,35,preparation
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,36,downswing
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,37,downswing
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,38,downswing
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,39,downswing
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,40,downswing
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,41,followthrough
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,42,followthrough
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,43,followthrough
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,44,followthrough
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,45,followthrough
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,46,followthrough
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,47,followthrough
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,48,followthrough
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,49,followthrough
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,50,followthrough
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,51,followthrough
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,52,followthrough
57611182-24f2-4793-9bb8-aa9687f4096b_delivery_1,53,followthrough
