video_id,frame_no,phase
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,2,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,3,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,4,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,5,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,6,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,7,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,8,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,9,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,10,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,11,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,12,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,13,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,14,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,15,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,16,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,17,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,18,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,19,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,20,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,21,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,22,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,23,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,24,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,25,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,26,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,27,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,28,preparation
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,29,downswing
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,30,downswing
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,31,downswing
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,32,downswing
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,33,downswing
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,34,followthrough
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,35,followthrough
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,36,followthrough
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,37,followthrough
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,38,followthrough
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,39,followthrough
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,40,followthrough
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,41,followthrough
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,42,followthrough
65dbcf5a-1b7f-480e-9cb9-efaeba6f61a2_delivery_4,43,followthrough
