video_id,frame_no,phase
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,39,preparation
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,40,preparation
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,41,preparation
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,42,preparation
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,43,preparation
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,44,preparation
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,45,preparation
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,46,preparation
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,47,preparation
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,48,preparation
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,49,preparation
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,50,preparation
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,51,preparation
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,52,preparation
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,53,preparation
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,54,preparation
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,55,preparation
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,56,preparation
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,57,preparation
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,58,preparation
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,59,preparation
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,60,preparation
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,61,preparation
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,62,preparation
6a8973e9-f387-4afc-a16d-e5c5db2892ec_delivery_12,63,preparation
