video_id,frame_no,phase
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,89,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,90,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,91,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,92,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,93,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,94,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,95,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,96,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,97,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,98,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,99,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,100,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,101,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,102,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,103,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,104,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,105,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,106,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,107,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,108,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,109,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,110,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,111,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,112,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,113,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,114,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,115,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,116,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,117,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,118,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,119,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,120,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,121,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,122,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,123,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,124,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,125,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,126,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,127,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,128,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,129,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,130,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,131,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,132,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,133,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,134,preparation
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,135,downswing
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,136,downswing
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,137,downswing
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,138,downswing
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,139,downswing
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,140,downswing
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,141,downswing
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,142,downswing
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,143,downswing
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,144,downswing
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,145,downswing
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,146,followthrough
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,147,followthrough
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,148,followthrough
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,149,followthrough
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,150,followthrough
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,151,followthrough
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,152,followthrough
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,153,followthrough
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,154,followthrough
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,155,followthrough
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,156,followthrough
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,157,followthrough
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,158,followthrough
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,159,followthrough
71b3801d-294d-45ab-b431-ffee076bddbd_delivery_4,160,followthrough
