video_id,frame_no,phase
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,65,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,66,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,67,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,68,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,69,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,70,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,71,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,72,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,73,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,74,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,75,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,76,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,77,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,78,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,79,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,80,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,81,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,82,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,83,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,84,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,85,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,86,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,87,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,88,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,89,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,90,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,91,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,92,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,93,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,94,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,95,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,96,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,97,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,98,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,99,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,100,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,101,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,102,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,103,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,104,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,105,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,106,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,107,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,108,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,109,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,110,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,111,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,112,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,113,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,114,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,115,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,116,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,117,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,118,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,119,preparation
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,120,downswing
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,121,downswing
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,122,downswing
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,123,downswing
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,124,downswing
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,125,downswing
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,126,downswing
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,127,downswing
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,128,downswing
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,129,downswing
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,130,downswing
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,131,downswing
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,132,followthrough
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,133,followthrough
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,134,followthrough
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,135,followthrough
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,136,followthrough
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,137,followthrough
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,138,followthrough
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,139,followthrough
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,140,followthrough
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,141,followthrough
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,142,followthrough
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,143,followthrough
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,144,followthrough
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,145,followthrough
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,146,followthrough
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,147,followthrough
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,148,followthrough
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,149,followthrough
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,150,followthrough
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,151,followthrough
89364d92-73c7-42d3-8ab3-f3cac42cce44_delivery_7,152,followthrough
