video_id,frame_no,phase
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,50,preparation
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,51,preparation
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,52,preparation
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,53,preparation
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,54,preparation
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,55,preparation
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,56,preparation
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,57,preparation
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,58,preparation
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,59,preparation
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,60,preparation
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,61,preparation
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,62,preparation
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,63,preparation
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,64,preparation
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,65,preparation
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,66,preparation
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,67,preparation
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,68,preparation
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,69,preparation
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,70,downswing
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,71,downswing
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,72,downswing
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,73,downswing
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,74,downswing
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,75,downswing
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,76,downswing
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,77,followthrough
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,78,followthrough
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,79,followthrough
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,80,followthrough
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,81,followthrough
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,82,followthrough
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,83,followthrough
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,84,followthrough
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,85,followthrough
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,86,followthrough
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,87,followthrough
970a5984-8294-4ed3-9a12-c76d7a27f97f_delivery_2,88,followthrough
