video_id,frame_no,phase
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,42,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,43,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,44,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,45,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,46,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,47,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,48,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,49,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,50,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,51,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,52,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,53,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,54,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,55,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,56,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,57,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,58,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,59,preparation
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,60,downswing
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,61,downswing
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,62,downswing
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,63,downswing
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,64,downswing
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,65,downswing
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,66,followthrough
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,67,followthrough
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,68,followthrough
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,69,followthrough
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,70,followthrough
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,71,followthrough
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,72,followthrough
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,73,followthrough
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,74,followthrough
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,75,followthrough
9d43c8ca-67d4-49a5-b3ca-7930ad933230_delivery_1,76,followthrough
