video_id,frame_no,phase
9fbcf9db-53e4-450a-ad35-217b61a7b20d_delivery_6,83,preparation
9fbcf9db-53e4-450a-ad35-217b61a7b20d_delivery_6,84,preparation
9fbcf9db-53e4-450a-ad35-217b61a7b20d_delivery_6,85,preparation
9fbcf9db-53e4-450a-ad35-217b61a7b20d_delivery_6,86,preparation
9fbcf9db-53e4-450a-ad35-217b61a7b20d_delivery_6,87,preparation
9fbcf9db-53e4-450a-ad35-217b61a7b20d_delivery_6,88,preparation
9fbcf9db-53e4-450a-ad35-217b61a7b20d_delivery_6,89,preparation
9fbcf9db-53e4-450a-ad35-217b61a7b20d_delivery_6,90,preparation
9fbcf9db-53e4-450a-ad35-217b61a7b20d_delivery_6,91,preparation
9fbcf9db-53e4-450a-ad35-217b61a7b20d_delivery_6,92,preparation
9fbcf9db-53e4-450a-ad35-217b61a7b20d_delivery_6,93,preparation
9fbcf9db-53e4-450a-ad35-217b61a7b20d_delivery_6,94,preparation
9fbcf9db-53e4-450a-ad35-217b61a7b20d_delivery_6,95,downswing
9fbcf9db-53e4-450a-ad35-217b61a7b20d_delivery_6,96,downswing
9fbcf9db-53e4-450a-ad35-217b61a7b20d_delivery_6,97,downswing
9fbcf9db-53e4-450a-ad35-217b61a7b20d_delivery_6,98,downswing
9fbcf9db-53e4-450a-ad35-217b61a7b20d_delivery_6,99,followthrough
9fbcf9db-53e4-450a-ad35-217b61a7b20d_delivery_6,100,followthrough
9fbcf9db-53e4-450a-ad35-217b61a7b20d_delivery_6,101,followthrough
9fbcf9db-53e4-450a-ad35-217b61a7b20d_delivery_6,102,followthrough
9fbcf9db-53e4-450a-ad35-217b61a7b20d_delivery_6,103,followthrough
9fbcf9db-53e4-450a-ad35-217b61a7b20d_delivery_6,104,followthrough
9fbcf9db-53e4-450a-ad35-217b61a7b20d_delivery_6,105,followthrough
9fbcf9db-53e4-450a-ad35-217b61a7b20d_delivery_6,106,followthrough
9fbcf9db-53e4-450a-ad35-217b61a7b20d_delivery_6,107,followthrough
9fbcf9db-53e4-450a-ad35-217b61a7b20d_delivery_6,108,followthrough
