video_id,frame_no,phase
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,32,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,33,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,34,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,35,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,36,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,37,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,38,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,39,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,40,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,41,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,42,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,43,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,44,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,45,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,46,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,47,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,48,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,49,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,50,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,51,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,52,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,53,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,54,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,55,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,56,preparation
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,57,downswing
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,58,downswing
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,59,downswing
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,60,downswing
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,61,downswing
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,62,downswing
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,63,downswing
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,64,downswing
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,65,downswing
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,66,downswing
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,67,downswing
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,68,downswing
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,69,downswing
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,70,followthrough
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,71,followthrough
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,72,followthrough
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,73,followthrough
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,74,followthrough
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,75,followthrough
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,76,followthrough
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,77,followthrough
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,78,followthrough
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,79,followthrough
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,80,followthrough
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,81,followthrough
c205fd81-5a0b-458a-939f-c45fdfc8d6e5_delivery_1,82,followthrough
