video_id,frame_no,phase
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,9,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,10,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,11,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,12,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,13,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,14,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,15,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,16,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,17,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,18,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,19,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,20,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,21,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,22,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,23,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,24,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,25,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,26,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,27,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,28,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,29,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,30,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,31,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,32,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,33,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,34,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,35,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,36,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,37,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,38,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,39,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,40,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,41,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,42,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,43,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,44,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,45,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,46,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,47,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,48,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,49,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,50,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,51,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,52,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,53,preparation
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,54,downswing
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,55,downswing
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,56,downswing
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,57,downswing
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,58,downswing
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,59,downswing
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,60,downswing
c84b9ad5-2640-4fe2-b9b8-0145d58c17f9_delivery_2,61,downswing
