video_id,video,feature_csv,keypoints_csv,label_csv,label_status,split,video_frames,fps,feature_rows,zero_filled_features
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_14,data/videos/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_14.mp4,data/features/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_14_features.csv,data/keypoints/normalized/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_14_keypoints.csv,data/labels/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_14_phase_labels.csv,manual,train,186,60.00967898048072,181,
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_1,data/videos/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_1.mp4,data/features/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_1_features.csv,data/keypoints/normalized/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_1_keypoints.csv,data/labels/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_1_phase_labels.csv,manual,train,185,60.00778479370297,181,bat_arm_extension;ear_separation;eye_separation;left_arm_length;left_forearm_length;left_shoulder_wrist_dist;right_arm_length;right_forearm_length;right_shoulder_wrist_dist
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_5,data/videos/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_5.mp4,data/features/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_5_features.csv,data/keypoints/normalized/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_5_keypoints.csv,data/labels/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_5_phase_labels.csv,manual,train,225,60.009601536245796,181,
008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7,data/videos/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7.mp4,data/features/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7_features.csv,data/keypoints/normalized/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7_keypoints.csv,data/labels/008330cf-9d1e-41b5-8bcf-7a233788ad3a_delivery_7_phase_labels.csv,manual,train,185,60.00994759491663,181,
00e39b89-84a3-4095-b669-719634933843_delivery_22,data/videos/00e39b89-84a3-4095-b669-719634933843_delivery_22.mp4,data/features/00e39b89-84a3-4095-b669-719634933843_delivery_22_features.csv,data/keypoints/normalized/00e39b89-84a3-4095-b669-719634933843_delivery_22_keypoints.csv,data/labels/00e39b89-84a3-4095-b669-719634933843_delivery_22_phase_labels.csv,manual,train,145,29.896907216494846,89,
07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2,data/videos/07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2.mp4,data/features/07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2_features.csv,data/keypoints/normalized/07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2_keypoints.csv,data/labels/07578356-0cd9-4560-8c04-398e9bd2276b_delivery_2_phase_labels.csv,manual,test,106,29.89723998959551,89,
0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6,data/videos/0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6.mp4,data/features/0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6_features.csv,data/keypoints/normalized/0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6_keypoints.csv,data/labels/0fb53ca9-0b80-4250-a522-c4218405d780_delivery_6_phase_labels.csv,manual,test,90,30.04785398968728,90,
1422e687-d176-44a4-819e-2c10a141a682_delivery_1,data/videos/1422e687-d176-44a4-819e-2c10a141a682_delivery_1.mp4,data/features/1422e687-d176-44a4-819e-2c10a141a682_delivery_1_features.csv,data/keypoints/normalized/1422e687-d176-44a4-819e-2c10a141a682_delivery_1_keypoints.csv,data/labels/1422e687-d176-44a4-819e-2c10a141a682_delivery_1_phase_labels.csv,manual,train,135,29.917044836170323,135,
1422e687-d176-44a4-819e-2c10a141a682_delivery_2,data/videos/1422e687-d176-44a4-819e-2c10a141a682_delivery_2.mp4,data/features/1422e687-d176-44a4-819e-2c10a141a682_delivery_2_features.csv,data/keypoints/normalized/1422e687-d176-44a4-819e-2c10a141a682_delivery_2_keypoints.csv,data/labels/1422e687-d176-44a4-819e-2c10a141a682_delivery_2_phase_labels.csv,manual,train,160,29.92114531495122,160,
1422e687-d176-44a4-819e-2c10a141a682_delivery_3,data/videos/1422e687-d176-44a4-819e-2c10a141a682_delivery_3.mp4,data/features/1422e687-d176-44a4-819e-2c10a141a682_delivery_3_features.csv,data/keypoints/normalized/1422e687-d176-44a4-819e-2c10a141a682_delivery_3_keypoints.csv,data/labels/1422e687-d176-44a4-819e-2c10a141a682_delivery_3_phase_labels.csv,manual,train,126,29.917449999076624,126,
