frame,tracker_id,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf,right_elbow_angle,left_elbow_angle,right_knee_angle,left_knee_angle,right_shoulder_wrist_dist,left_shoulder_wrist_dist,right_upper_arm_len,right_forearm_len,left_upper_arm_len,left_forearm_len,right_hip_ankle_dist,left_hip_ankle_dist,right_shoulder_wrist_alpha,left_shoulder_wrist_alpha,pose_bbox_x1,pose_bbox_y1,pose_bbox_x2,pose_bbox_y2,max_kpt_distance,max_kpt_1_name,max_kpt_2_name,dist_lw_la,dist_rw_ra,mid_hip_x,mid_hip_y,mid_shoulder_x,mid_shoulder_y,timestamp
1,1.0,529.8636474609375,986.8765258789062,0.6040428876876831,531.4163208007812,984.5475463867188,0.5896307229995728,529.6048583984375,984.5475463867188,0.6609281897544861,535.0391235351562,985.3238525390625,0.6431008577346802,528.5697631835938,985.8414306640625,0.6231420636177063,538.1444091796875,994.3809814453125,0.6710507869720459,532.192626953125,994.3809814453125,0.5616199970245361,539.4382934570312,1010.6837158203125,0.5502220392227173,535.0391235351562,1010.4249267578125,0.4668213725090027,533.7452392578125,1020.2583618164062,0.4829113483428955,532.7101440429688,1019.7408447265625,0.4661298990249634,550.8243408203125,1017.9293823242188,0.6610020995140076,544.87255859375,1018.1881713867188,0.5162116289138794,541.2496948242188,1043.030517578125,0.6205220818519592,539.1795043945312,1044.0655517578125,0.5333341360092163,547.2015380859375,1070.4605712890625,0.6733438372612,544.61376953125,1069.9429931640625,0.5929454565048218,155.9031000012085,144.72658701598516,155.7327325426532,146.8786012800576,25.36514320050199,26.24864779130151,16.294499807665357,9.602628446186444,16.353999040753425,11.139331760287792,51.75546878334196,52.65596370509533,88.83093099857278,99.64807815201769,528.5697631835938,984.5475463867188,550.8243408203125,1070.4605712890625,86.64607317198589,right_ear,left_ankle,51.974357274412306,51.59410826350275,547.8484497070312,1018.0587768554688,535.1685180664062,994.3809814453125,0.0
2,4.0,528.7172241210938,986.8247680664062,0.6800374984741211,530.5333251953125,984.4898071289062,0.6586299538612366,528.457763671875,984.749267578125,0.721966564655304,534.9437866210938,985.2681274414062,0.6629089117050171,528.1983642578125,985.7869873046875,0.5846703052520752,538.3164672851562,994.3485107421875,0.6810852885246277,532.6088256835938,994.3485107421875,0.5622775554656982,540.3920288085938,1010.4337768554688,0.5491259098052979,535.462646484375,1010.4337768554688,0.47502514719963074,533.906005859375,1020.0330200195312,0.4752926230430603,532.6088256835938,1019.7736206054688,0.47574013471603394,550.7695922851562,1017.95751953125,0.6616737842559814,545.3213500976562,1018.2169799804688,0.5133785605430603,540.910888671875,1043.1231689453125,0.6303096413612366,539.8731079101562,1043.9014892578125,0.5187561511993408,546.8779907226562,1070.8831787109375,0.6694685816764832,545.8402099609375,1069.5860595703125,0.5895837545394897,152.94865815234147,138.60133513768608,154.9447590215737,146.47580278927435,25.42510986328125,26.06043335799045,16.336464706234512,9.76611357897223,16.218623294615615,11.585075011435745,51.37169992773673,53.06854023172008,90.0,99.74361991256201,528.1983642578125,984.4898071289062,550.7695922851562,1070.8831787109375,87.12227176052761,right_ear,left_ankle,52.47867214625763,51.53977692540998,548.0454711914062,1018.0872497558594,535.462646484375,994.3485107421875,0.016667
3,7.0,529.0562744140625,986.72216796875,0.6683145761489868,530.8759155273438,984.382568359375,0.648951530456543,528.536376953125,984.642578125,0.7179558277130127,535.0352172851562,985.1624755859375,0.6605472564697266,528.0164794921875,985.9423217773438,0.6086415648460388,538.4146118164062,994.2608642578125,0.6835305690765381,531.915771484375,994.5208129882812,0.5732356309890747,541.2741088867188,1010.8978881835938,0.5312354564666748,534.5153198242188,1010.637939453125,0.46689966320991516,535.295166015625,1019.4763793945312,0.453041136264801,532.4356689453125,1019.4763793945312,0.48005354404449463,550.8923950195312,1017.9166259765625,0.6573536992073059,544.9134521484375,1018.4365844726562,0.5185532569885254,541.2741088867188,1043.1322021484375,0.6231844425201416,539.4544067382812,1043.9119873046875,0.5286997556686401,546.733154296875,1070.687255859375,0.6697332262992859,545.1734008789062,1069.6474609375,0.5887508392333984,157.59698090346157,135.3722426170605,155.37636940919018,147.91503722313698,24.96098131137161,25.407737910213577,16.325422415819787,9.0798110319533,16.880974160342273,10.45649412145078,51.21153621636398,52.93428625775345,88.80653392110837,97.05230741604917,528.0164794921875,984.382568359375,550.8923950195312,1070.687255859375,86.78719818217573,right_ear,left_ankle,52.47267330925212,51.76279781854255,547.9029235839844,1018.1766052246094,535.1651916503906,994.3908386230469,0.033333
4,10.0,530.3131103515625,986.7024536132812,0.608985185623169,531.87255859375,984.36328125,0.593752384185791,529.7933349609375,984.6232299804688,0.6733860373497009,535.5111694335938,985.1430053710938,0.6400725245475769,528.23388671875,985.9227294921875,0.6507357954978943,538.6300048828125,994.2396240234375,0.6647489666938782,531.6126098632812,994.7593994140625,0.5695805549621582,542.0087280273438,1009.5738525390625,0.4964408576488495,533.9517822265625,1010.3535766601562,0.4508746266365051,537.0706176757812,1017.8907470703125,0.4571128487586975,532.6522216796875,1019.1903076171875,0.4623546004295349,550.845458984375,1017.8907470703125,0.6513582468032837,544.6077880859375,1018.4105834960938,0.5133056640625,541.22900390625,1042.8414306640625,0.6113142967224121,539.1497802734375,1043.881103515625,0.5239903926849365,546.9468994140625,1070.39111328125,0.6634746193885803,544.86767578125,1069.6114501953125,0.5861812233924866,163.10292039736183,136.87458577284178,155.37626429970737,147.19722875036607,24.453017571627676,23.70247476192886,15.768642659649778,8.931778749048169,15.702048728009922,9.672417923567243,51.20152626988128,52.64491636431597,87.56335479323147,93.77221727945484,528.23388671875,984.36328125,550.845458984375,1070.39111328125,86.51638402101236,right_ear,left_ankle,53.4212447744945,51.87975460419016,547.7266235351562,1018.1506652832031,535.1213073730469,994.49951171875,0.0499
5,13.0,529.5162963867188,986.8515625,0.6353020668029785,531.0726928710938,984.7763061523438,0.6179293394088745,528.9974365234375,984.7763061523438,0.6868582367897034,534.9638061523438,985.2951049804688,0.6400100588798523,528.21923828125,986.0733032226562,0.6118454933166504,538.5955200195312,994.6337280273438,0.6647037863731384,532.1103515625,994.6337280273438,0.5651925206184387,541.1895751953125,1010.9763793945312,0.5094839334487915,534.4450073242188,1010.7169799804688,0.4552629590034485,536.00146484375,1019.7962036132812,0.4509202241897583,532.629150390625,1020.0556030273438,0.45218968391418457,550.7876586914062,1018.23974609375,0.6584614515304565,544.8212890625,1018.7586059570312,0.5143495202064514,541.1895751953125,1043.4022216796875,0.6197910904884338,539.3737182617188,1044.180419921875,0.530888557434082,547.1559448242188,1070.639892578125,0.6770161390304565,544.8212890625,1069.8616943359375,0.5917345285415649,160.73697426994008,140.51529252754358,155.92896651005972,146.76552635123636,25.42716816202089,25.295835623040766,16.25181869556222,9.513528095028963,16.547246778979062,10.232584632908686,51.10308837890625,52.525847896031905,88.83089434645971,95.88595522578564,528.21923828125,984.7763061523438,550.7876586914062,1070.639892578125,86.66087288915914,right_ear,left_ankle,52.05288782755912,51.27665138085957,547.8044738769531,1018.4991760253906,535.3529357910156,994.6337280273438,0.066467
6,15.0,529.42822265625,987.4756469726562,0.6516944169998169,531.2508544921875,985.1322631835938,0.6339569091796875,528.907470703125,985.1322631835938,0.6998692750930786,535.1564331054688,985.6530151367188,0.6525194644927979,528.38671875,986.1737670898438,0.6068699359893799,538.2808837890625,994.7660522460938,0.6827422976493835,532.8130493164062,994.5056762695312,0.5604347586631775,540.8846435546875,1010.9091186523438,0.5363587737083435,535.1564331054688,1010.9091186523438,0.46572455763816833,535.1564331054688,1020.5429077148438,0.4648308753967285,532.8130493164062,1020.5429077148438,0.46590685844421387,550.7787475585938,1018.4599609375,0.6639624238014221,545.5712890625,1018.7203369140625,0.5168135166168213,540.624267578125,1043.716064453125,0.6296900510787964,539.8431396484375,1044.4971923828125,0.5187546014785767,546.8731689453125,1070.7947998046875,0.6754859685897827,545.5712890625,1069.7532958984375,0.5922151803970337,158.19830352604168,140.10197792387655,154.69262928626267,145.10235051534028,26.0372314453125,25.965524641936973,16.56998399483507,9.914703186862708,16.351701988285036,11.208134842661535,51.032958984375,52.48036683902847,90.0,96.91119065480189,528.38671875,985.1322631835938,550.7787475585938,1070.7947998046875,86.6167883181455,right_ear,left_ankle,51.599753462104644,50.83733850821451,548.1750183105469,1018.5901489257812,535.5469665527344,994.6358642578125,0.083233
7,17.0,530.3916625976562,987.3772583007812,0.5952862501144409,531.9471435546875,985.0440673828125,0.5826650857925415,529.8731689453125,985.3032836914062,0.6575874090194702,535.3173217773438,985.5625610351562,0.6367990374565125,528.5769653320312,986.3402709960938,0.6385789513587952,538.4282836914062,994.8953857421875,0.6768286228179932,532.724853515625,994.3768920898438,0.5478087663650513,540.761474609375,1010.9686279296875,0.5225899815559387,535.05810546875,1010.9686279296875,0.4421406686306,535.5765991210938,1020.042236328125,0.4436964988708496,532.984130859375,1020.301513671875,0.4434353709220886,550.8720703125,1018.4867553710938,0.6616514921188354,545.4279174804688,1019.0052490234375,0.5102007389068604,540.761474609375,1043.8929443359375,0.6203768253326416,539.7244873046875,1044.411376953125,0.5104482173919678,546.9833984375,1070.59521484375,0.6736290454864502,545.168701171875,1069.8175048828125,0.5881518125534058,159.46633007186935,141.9959634290091,155.2525628188186,145.18301407756493,25.925918091988613,25.308026380577832,16.754992177136856,9.56055055721473,16.241702320807434,10.450516886603038,50.8129170449132,52.25335699804248,89.42699251363094,96.46977469041528,528.5769653320312,985.0440673828125,550.8720703125,1070.59521484375,86.2420566918357,right_ear,left_ankle,51.82392022460294,50.993108743259576,548.1499938964844,1018.7460021972656,535.5765686035156,994.6361389160156,0.0999
8,19.0,530.4810180664062,987.692626953125,0.6144890189170837,532.0343017578125,985.36279296875,0.5957406759262085,529.7044067382812,985.6216430664062,0.6766685247421265,535.399658203125,985.8805541992188,0.6380346417427063,528.4100341796875,986.3983154296875,0.6396845579147339,538.2472534179688,995.199951171875,0.6871211528778076,532.8109130859375,994.42333984375,0.548664927482605,540.3182373046875,1011.5089721679688,0.5377432107925415,534.8818969726562,1010.9912719726562,0.45556312799453735,534.1052856445312,1021.0872802734375,0.4656716287136078,532.8109130859375,1020.0518188476562,0.4544474184513092,550.9320068359375,1018.4985961914062,0.6670814156532288,545.4956665039062,1018.7574462890625,0.509590744972229,540.8359985351562,1043.8681640625,0.6244128942489624,539.8004760742188,1044.3858642578125,0.5118660926818848,547.0489501953125,1070.791015625,0.6758195161819458,545.23681640625,1070.014404296875,0.5908876061439514,159.9999965753545,139.79370459423052,155.49512417141446,145.3049610318074,25.62847900390625,26.216592170776117,16.696866451136653,9.294217768759292,16.439986013074204,11.416862725579504,51.257611606352775,52.43639250647583,90.0,99.09026638356863,528.4100341796875,985.36279296875,550.9320068359375,1070.791015625,86.426483420844,right_ear,left_ankle,51.36146181624229,51.484590103216696,548.2138366699219,1018.6280212402344,535.5290832519531,994.8116455078125,0.116567
9,21.0,531.5349731445312,987.5300903320312,0.6300594806671143,533.0916137695312,985.1951293945312,0.6048225164413452,530.23779296875,985.45458984375,0.6963709592819214,535.9453735351562,985.7139892578125,0.6413213014602661,528.4217529296875,986.4923095703125,0.6687854528427124,538.5397338867188,994.7942504882812,0.6997155547142029,532.5726928710938,994.7942504882812,0.5631934404373169,541.3935546875,1010.3604125976562,0.5199325680732727,535.426513671875,1010.8793334960938,0.4832491874694824,536.983154296875,1020.7378540039062,0.43311601877212524,532.8321533203125,1020.7378540039062,0.47383904457092285,550.99267578125,1018.4029541015625,0.6696922779083252,545.5444946289062,1018.9218139648438,0.5205365419387817,541.1340942382812,1044.3465576171875,0.6294139623641968,539.8369140625,1044.3465576171875,0.5195712447166443,547.1011352539062,1071.0684814453125,0.6826122403144836,545.2850952148438,1070.03076171875,0.5948590040206909,155.19562238810238,146.5856198346094,155.37130740650375,146.60547257047526,25.944900907512803,25.990257855501703,16.33628441632889,10.194171483584094,15.82560254708533,11.27576701363491,51.10960603025164,52.80910771894596,89.42700738988066,93.43354977581417,528.4217529296875,985.1951293945312,550.99267578125,1071.0684814453125,86.61436470380578,right_ear,left_ankle,51.33756516716081,50.84158251680089,548.2685852050781,1018.6623840332031,535.5562133789062,994.7942504882812,0.133233
10,23.0,530.3558959960938,987.3629760742188,0.678242564201355,532.1771850585938,985.0213012695312,0.6478281021118164,529.315185546875,985.281494140625,0.7385695576667786,535.8197021484375,985.5416870117188,0.6593244671821594,528.2744140625,986.0620727539062,0.6353587508201599,538.4215087890625,994.3878784179688,0.7063935995101929,532.9577026367188,994.3878784179688,0.5646559000015259,541.8038940429688,1009.21826171875,0.5380542278289795,535.8197021484375,1010.5191650390625,0.4804094433784485,536.340087890625,1020.9263916015625,0.4705294370651245,532.697509765625,1020.1458740234375,0.48923781514167786,551.1704711914062,1018.0643920898438,0.6634151935577393,545.7066040039062,1018.5847778320312,0.5174064040184021,541.0233764648438,1043.8223876953125,0.6287628412246704,539.722412109375,1044.0826416015625,0.5240648984909058,547.2677001953125,1070.6212158203125,0.6811407208442688,545.186279296875,1070.100830078125,0.599526047706604,151.97009114933806,142.1352893162104,154.93219315655583,145.38224733694733,25.759309733405424,26.62001117490809,16.38320631796342,10.120356275603084,15.211206357614566,12.920274107897109,51.51867988237866,52.70153073757454,90.57875024779418,94.48453924191683,528.2744140625,985.0213012695312,551.1704711914062,1070.6212158203125,86.66598868211132,right_ear,left_ankle,50.88210161553883,51.492397485749656,548.4385375976562,1018.3245849609375,535.6896057128906,994.3878784179688,0.1499
