frame,tracker_id,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf,right_elbow_angle,left_elbow_angle,right_knee_angle,left_knee_angle,right_shoulder_wrist_dist,left_shoulder_wrist_dist,right_upper_arm_len,right_forearm_len,left_upper_arm_len,left_forearm_len,right_hip_ankle_dist,left_hip_ankle_dist,right_shoulder_wrist_alpha,left_shoulder_wrist_alpha,pose_bbox_x1,pose_bbox_y1,pose_bbox_x2,pose_bbox_y2,max_kpt_distance,max_kpt_1_name,max_kpt_2_name,dist_lw_la,dist_rw_ra,mid_hip_x,mid_hip_y,mid_shoulder_x,mid_shoulder_y,timestamp
1,1.0,527.098876953125,989.0692138671875,0.6863579750061035,529.0862426757812,986.8334350585938,0.6619292497634888,526.3536376953125,987.0818481445312,0.7283955812454224,533.5578002929688,987.3302612304688,0.7100000381469727,526.1051635742188,988.0755615234375,0.5761290192604065,537.0357055664062,995.5281982421875,0.6482119560241699,529.0862426757812,996.770263671875,0.5666005611419678,542.5009765625,1011.9239501953125,0.48090460896492004,530.5767822265625,1011.675537109375,0.4479745626449585,532.3157348632812,1020.121826171875,0.4223650395870209,530.8251953125,1021.115478515625,0.450775682926178,550.6988525390625,1018.1344604492188,0.5995487570762634,543.49462890625,1019.1281127929688,0.43382689356803894,541.0104370117188,1043.2249755859375,0.5826961994171143,537.2841186523438,1044.2186279296875,0.5166388154029846,546.9725341796875,1071.048095703125,0.6353370547294617,543.2462158203125,1070.3028564453125,0.5390307307243347,175.79675168264828,110.39480691866316,153.22236525105615,146.7917451320857,24.407241590583244,25.042457111518896,14.979615629217134,9.443209349299538,17.2826464746909,13.074567640981671,51.17534657375914,53.044681583537155,85.91436280354475,100.86401836382217,526.1051635742188,986.8334350585938,550.6988525390625,1071.048095703125,85.5563474219499,right_ear,left_ankle,52.993458979112965,50.731448806962014,547.0967407226562,1018.6312866210938,533.0609741210938,996.1492309570312,0.0
2,3.0,526.7720336914062,988.3663940429688,0.6314312219619751,528.5033569335938,986.3877563476562,0.6004538536071777,527.0194091796875,986.3877563476562,0.6677858829498291,532.9552612304688,986.8824462890625,0.6666102409362793,527.0194091796875,987.3770751953125,0.5761396884918213,536.4178466796875,995.0442504882812,0.640363335609436,529.9873046875,996.2808837890625,0.5456929206848145,541.3643798828125,1012.357177734375,0.441653847694397,531.2239379882812,1011.6151733398438,0.4435665011405945,531.9659423828125,1020.7662963867188,0.43205511569976807,530.4819946289062,1020.5189819335938,0.4435322880744934,550.7628784179688,1017.7984008789062,0.606097400188446,544.0850219726562,1018.5403442382812,0.42864227294921875,541.1170654296875,1043.0257568359375,0.5832505226135254,537.1598510742188,1043.767822265625,0.5075852870941162,546.5582885742188,1070.7265625,0.6400350332260132,543.343017578125,1069.7371826171875,0.5283082127571106,170.62597746324528,115.87479458360266,151.25743638772414,147.96235323902377,24.24314583139032,26.104465079174854,15.384072866045589,8.934667728721477,18.005711331634565,12.611260997640237,51.2022150938546,53.09490435383406,88.83077826108027,99.81932602364844,526.7720336914062,986.3877563476562,550.7628784179688,1070.7265625,85.60902313394483,right_ear,left_ankle,52.04771616007495,50.87078916068474,547.4239501953125,1018.1693725585938,533.2025756835938,995.6625671386719,0.016667
3,5.0,526.4375610351562,988.6055908203125,0.6968632936477661,528.6596069335938,986.3834838867188,0.6707548499107361,525.9437255859375,986.63037109375,0.723793089389801,533.3507080078125,987.1242065429688,0.7163983583450317,525.9437255859375,987.6179809570312,0.5552181601524353,536.8072509765625,995.2718505859375,0.6442834138870239,529.4003295898438,996.2594604492188,0.5603840351104736,541.0045166015625,1012.3078002929688,0.4188705086708069,530.8817138671875,1011.567138671875,0.4547744393348694,531.1286010742188,1019.961669921875,0.41795578598976135,529.8941040039062,1021.1961669921875,0.4316782057285309,550.633544921875,1017.7395629882812,0.6006770133972168,543.2266235351562,1018.4802856445312,0.429045706987381,541.25146484375,1042.9232177734375,0.5911039113998413,537.3010864257812,1043.6639404296875,0.5226434469223022,546.9301147460938,1071.069580078125,0.6449974775314331,542.979736328125,1070.08203125,0.5467126369476318,168.61635758467057,113.93510748864485,154.6282314067302,148.16075430796366,24.941594704070614,25.334447764942933,15.37919087421525,9.679543358827965,17.545387460734652,12.4946159524622,51.60233621479273,53.45845225845875,88.86562833501011,102.9527456801059,525.9437255859375,986.3834838867188,550.633544921875,1071.069580078125,86.04997342154883,right_ear,left_ankle,53.494918589168584,50.60693131931542,546.9300842285156,1018.1099243164062,533.1037902832031,995.7656555175781,0.033333
4,7.0,526.3948364257812,988.7586669921875,0.7110823392868042,528.3763427734375,986.5294799804688,0.6809806823730469,525.8994140625,986.7771606445312,0.7298426032066345,533.08251953125,987.2725219726562,0.7219581604003906,525.8994140625,987.7679443359375,0.5461454391479492,537.0455932617188,995.4464111328125,0.652686595916748,529.8624877929688,996.189453125,0.5574702620506287,540.5133056640625,1012.0418090820312,0.43852144479751587,531.3486328125,1011.2987670898438,0.4508694112300873,530.853271484375,1020.46337890625,0.4355677366256714,529.6148071289062,1021.4541625976562,0.4481792747974396,550.4210205078125,1017.73876953125,0.5998131036758423,543.2379150390625,1018.234130859375,0.42659467458724976,541.25634765625,1043.00341796875,0.5941650867462158,537.2932739257812,1043.7464599609375,0.5246387720108032,546.7056274414062,1070.99267578125,0.6431906223297119,543.2379150390625,1070.001953125,0.5401215553283691,164.69381781067906,119.27926479661302,154.12598497607897,149.04471908093754,25.265923502794767,25.77195230422748,15.182226302729777,10.302339997359223,16.953827367243733,12.815580309019275,51.767822265625,53.38335580048981,90.56167683775634,103.90269363487772,525.8994140625,986.5294799804688,550.4210205078125,1070.99267578125,85.78609700477674,right_ear,left_ankle,52.95759654733501,50.42298121113635,546.8294677734375,1017.9864501953125,533.4540405273438,995.8179321289062,0.05
5,9.0,526.9512939453125,988.3252563476562,0.6521044969558716,528.9212646484375,986.1090698242188,0.6171121597290039,526.705078125,986.3552856445312,0.690831184387207,533.1073608398438,986.8477783203125,0.6755385398864746,526.2125854492188,987.093994140625,0.5661938190460205,536.3085327148438,994.4813232421875,0.6532737612724304,530.398681640625,995.9588012695312,0.5461796522140503,539.7559814453125,1010.7333984375,0.4265981912612915,532.1224365234375,1011.4721069335938,0.4231053590774536,530.6449584960938,1018.8594360351562,0.4442049264907837,530.398681640625,1021.0756225585938,0.4246591329574585,550.3444213867188,1017.3819580078125,0.6005311012268066,543.6958618164062,1018.1206665039062,0.42746591567993164,541.2333984375,1042.7449951171875,0.5938076376914978,537.2935180664062,1043.4837646484375,0.5195244550704956,546.8970336914062,1070.8167724609375,0.6471964716911316,542.9571533203125,1070.078125,0.5423742532730103,163.48382684212567,119.75321377069426,153.81060574925868,148.83385755998873,25.1168212890625,25.02735416055793,15.608779052912933,9.756989456571073,16.61369467948964,12.208326102284198,51.96270954843969,53.54590439577698,90.0,103.07906191434182,526.2125854492188,986.1090698242188,550.3444213867188,1070.8167724609375,86.24007194312817,right_ear,left_ankle,54.439826934110535,50.586168627892135,547.0201416015625,1017.7513122558594,533.3536071777344,995.2200622558594,0.066667
6,11.0,526.1434326171875,987.8770141601562,0.7113969326019287,528.3684692382812,985.8992309570312,0.6952199339866638,525.6490478515625,986.1464233398438,0.7335736751556396,533.3129272460938,986.8881225585938,0.7416489124298096,525.896240234375,987.1353149414062,0.5406588315963745,536.5267944335938,995.5408935546875,0.6654594540596008,530.3462524414062,995.7880859375,0.5640852451324463,539.9879150390625,1012.5991821289062,0.47069841623306274,532.0767822265625,1011.3630981445312,0.44314631819725037,530.5934448242188,1020.5103149414062,0.4765852689743042,530.3462524414062,1021.251953125,0.4583691954612732,550.3712158203125,1017.5436401367188,0.6053760051727295,543.2017822265625,1018.0380859375,0.4334559142589569,541.2239990234375,1042.76025390625,0.5903593897819519,537.5156860351562,1043.501953125,0.5158696174621582,546.9100952148438,1070.6964111328125,0.6389569044113159,543.2017822265625,1069.70751953125,0.5325809717178345,163.7337715900063,118.63131714084437,155.1700329025727,148.55721303967252,25.4638671875,25.664696413061233,15.670856345027396,10.039132739537541,17.40587730988939,12.281778901877388,51.66943359375,53.26533976620055,90.0,103.36697794830877,525.6490478515625,985.8992309570312,550.3712158203125,1070.6964111328125,86.16286263727325,right_ear,left_ankle,52.7719369637212,50.1318916639652,546.7864990234375,1017.7908630371094,533.4365234375,995.6644897460938,0.083333
7,14.0,525.83203125,988.0455322265625,0.6995731592178345,528.0684814453125,985.80908203125,0.6758672595024109,525.83203125,986.0575561523438,0.7175078988075256,533.038330078125,986.8030395507812,0.7255464196205139,526.0805053710938,987.300048828125,0.5434252023696899,536.5172119140625,995.997314453125,0.6610321998596191,530.5534057617188,995.7488403320312,0.5683765411376953,539.9961547851562,1013.1433715820312,0.4806867837905884,532.2928466796875,1011.1553955078125,0.44876623153686523,530.8018798828125,1020.8466796875,0.4640038013458252,530.8018798828125,1021.0951538085938,0.45582228899002075,550.432861328125,1017.6162719726562,0.6115098595619202,543.7235717773438,1018.1132202148438,0.4364231824874878,541.2385864257812,1042.714111328125,0.5897102355957031,537.51123046875,1043.4595947265625,0.5050128698348999,546.7054443359375,1070.54541015625,0.6389764547348022,543.2265625,1069.5513916015625,0.5294917821884155,165.02764824644737,118.48790132622212,153.87308096681906,148.76730078284422,25.347531363843444,25.498156262341737,15.504437980510483,10.050959012319842,17.495437078508523,11.994817495387277,51.440572448517884,53.06022339089433,89.43833794830127,102.95271639589794,525.83203125,985.80908203125,550.432861328125,1070.54541015625,85.76233608031919,right_ear,left_ankle,52.18129140333881,50.02379153149603,547.0782165527344,1017.86474609375,533.5353088378906,995.8730773925781,0.1
8,17.0,525.7659912109375,988.0845336914062,0.7076815962791443,527.9879150390625,986.1094970703125,0.6890304088592529,525.5191040039062,986.1094970703125,0.7230707406997681,532.925537109375,986.85009765625,0.72904372215271,526.0128784179688,987.3438720703125,0.5224981307983398,536.3818969726562,994.9971923828125,0.6551218628883362,530.70361328125,995.9847412109375,0.5564254522323608,540.578857421875,1011.5382690429688,0.43991968035697937,532.4317626953125,1011.5382690429688,0.4265871047973633,530.4567260742188,1019.4384765625,0.43909794092178345,530.4567260742188,1021.4135131835938,0.4322008192539215,550.4541015625,1017.46337890625,0.6052528023719788,543.788330078125,1017.9571533203125,0.4280893802642822,541.0726318359375,1042.8922119140625,0.5774276256561279,537.6162719726562,1043.6328125,0.4921814203262329,546.7509155273438,1070.5428466796875,0.6222172379493713,543.2945556640625,1069.80224609375,0.5180121660232544,162.35001677090648,113.734444230746,154.24102685307366,148.14462993562938,25.429970454767417,25.14923502868294,15.64924050614263,10.07081012091926,17.065218840948752,12.840203342270847,51.84744408221416,53.20849073148351,90.5562655776303,103.62701943042073,525.5191040039062,986.1094970703125,550.4541015625,1070.5428466796875,85.74459492703456,right_ear,left_ankle,53.63913920831333,50.062754031598246,547.1212158203125,1017.7102661132812,533.5427551269531,995.490966796875,0.116667
9,20.0,527.6414794921875,988.345458984375,0.6438724398612976,530.06591796875,986.1635131835938,0.6369034051895142,526.9141845703125,986.1635131835938,0.7082024812698364,534.4298706054688,987.1332397460938,0.7279447913169861,525.7019653320312,987.6181640625,0.5968277454376221,536.8543090820312,996.5885009765625,0.6762335300445557,530.5508422851562,995.6187744140625,0.5440957546234131,539.5211791992188,1014.0443725585938,0.5448318123817444,534.1874389648438,1011.3775024414062,0.46581852436065674,531.2781372070312,1020.347900390625,0.4957624673843384,531.7630004882812,1020.832763671875,0.44361597299575806,550.6735229492188,1018.1658935546875,0.6261934041976929,543.8851318359375,1018.4083251953125,0.44883739948272705,541.460693359375,1042.41015625,0.5730401277542114,538.3089599609375,1043.86474609375,0.45541447401046753,546.067138671875,1070.048583984375,0.5907970666885376,544.3700561523438,1069.80615234375,0.5006362199783325,152.62403017874632,118.71910938889549,154.4936419775977,149.73078440471943,25.24310959058902,24.404973945826995,16.172889180678375,9.761140653788477,17.658415809758072,10.377003633716193,51.40011466109099,52.086777039219335,87.24763434756835,103.20789714593401,525.7019653320312,986.1635131835938,550.6735229492188,1070.048583984375,84.90885945328985,right_ear,left_ankle,51.85433939424165,50.57005685703057,547.2793273925781,1018.287109375,533.7025756835938,996.1036376953125,0.133333
10,23.0,526.7088012695312,988.756591796875,0.6249940991401672,528.877685546875,986.5877075195312,0.605484664440155,526.7088012695312,986.5877075195312,0.6791043281555176,533.4564208984375,987.5516967773438,0.673917293548584,525.98583984375,987.7926635742188,0.5775320529937744,536.5892333984375,996.2271728515625,0.6526023745536804,530.8055419921875,995.7451782226562,0.5359365940093994,539.7219848632812,1013.3370971679688,0.48111507296562195,534.1793212890625,1011.4092407226562,0.457293838262558,531.7694702148438,1020.084716796875,0.488086462020874,531.7694702148438,1020.8076171875,0.4316415786743164,550.5663452148438,1018.1567993164062,0.6244986653327942,543.8187866210938,1018.3977661132812,0.4508398175239563,541.890869140625,1042.7373046875,0.5733553171157837,538.0350952148438,1044.1832275390625,0.4611862897872925,546.2286376953125,1070.2095947265625,0.5995967388153076,544.0597534179688,1069.9686279296875,0.5174838304519653,153.46366595600648,119.93855388901585,154.2067542828221,151.58725252845892,25.080968970216272,24.339525883805603,16.023271849030355,9.7024152856308,17.39435660936128,10.429422797548,51.571424776556874,52.233219473210546,87.79742863201821,101.42131857265653,525.98583984375,986.5877075195312,550.5663452148438,1070.2095947265625,84.86649165265048,right_ear,left_ankle,52.16867749612135,50.674017389649414,547.1925659179688,1018.2772827148438,533.6973876953125,995.9861755371094,0.15
