frame,tracker_id,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf,right_elbow_angle,left_elbow_angle,right_knee_angle,left_knee_angle,right_shoulder_wrist_dist,left_shoulder_wrist_dist,right_upper_arm_len,right_forearm_len,left_upper_arm_len,left_forearm_len,right_hip_ankle_dist,left_hip_ankle_dist,right_shoulder_wrist_alpha,left_shoulder_wrist_alpha,pose_bbox_x1,pose_bbox_y1,pose_bbox_x2,pose_bbox_y2,max_kpt_distance,max_kpt_1_name,max_kpt_2_name,dist_lw_la,dist_rw_ra,mid_hip_x,mid_hip_y,mid_shoulder_x,mid_shoulder_y,timestamp
1,1.0,536.3816528320312,990.20751953125,0.6782745122909546,538.376708984375,988.2124633789062,0.655579686164856,535.633544921875,988.2124633789062,0.7169073820114136,542.6162109375,988.711181640625,0.6798158884048462,535.134765625,989.4593505859375,0.5836325883865356,545.8582153320312,997.4395751953125,0.6497721672058105,540.1224365234375,997.9383544921875,0.5957704782485962,547.3544921875,1013.8988647460938,0.44982942938804626,544.3619384765625,1012.6519165039062,0.5031936168670654,541.8681030273438,1022.6272583007812,0.46500837802886963,540.8705444335938,1019.884033203125,0.49389582872390747,558.8261108398438,1020.6322021484375,0.5928903222084045,550.5964965820312,1020.6322021484375,0.4650583267211914,549.5989379882812,1044.0740966796875,0.5719146728515625,544.3619384765625,1044.5728759765625,0.563330888748169,554.0878295898438,1071.5062255859375,0.6210466027259827,551.0952758789062,1070.25927734375,0.5561089515686035,138.15691817894006,142.6534916280601,150.71460189429808,149.2211590207927,21.95842616238545,25.50177202520512,15.312161306727532,8.030774826528035,16.527161188318708,10.309477196356287,49.629581634627876,51.09420289938381,88.0475958552132,99.00172025656113,535.134765625,988.2124633789062,558.8261108398438,1071.5062255859375,84.20753131947927,right_ear,left_ankle,50.38328254615456,51.40243530569671,554.7113037109375,1020.6322021484375,542.9903259277344,997.68896484375,0.0
2,8.0,536.7252807617188,990.419921875,0.6798052787780762,538.9179077148438,988.2272338867188,0.6670267581939697,535.7507934570312,988.4708862304688,0.7217176556587219,543.0595703125,988.9581298828125,0.6976273059844971,535.0198974609375,989.4453735351562,0.5923795700073242,545.739501953125,997.9723510742188,0.6600260734558105,540.1360473632812,998.2159423828125,0.5943959951400757,546.7139892578125,1015.0261840820312,0.46991047263145447,545.0086059570312,1013.0771484375,0.5030553936958313,540.866943359375,1023.0658569335938,0.464303195476532,540.623291015625,1018.9241943359375,0.4979572296142578,558.6516723632812,1020.385986328125,0.589368999004364,550.368408203125,1020.385986328125,0.46679455041885376,549.6375122070312,1043.774169921875,0.5705382823944092,544.2777099609375,1044.2613525390625,0.5631689429283142,554.2664184570312,1071.5474853515625,0.6192655563354492,550.8556518554688,1070.329345703125,0.551182746887207,124.97709326698926,140.70214495057107,151.52661567736965,149.4602186410636,20.71398332843914,25.56219598477436,15.639605898148693,7.308825683634526,17.08165231367716,9.941040453523257,49.94573607463554,51.34909380064537,88.65213853308843,100.98872411259259,535.0198974609375,988.2272338867188,558.6516723632812,1071.5474853515625,84.32784436452026,right_ear,left_ankle,50.29924678313488,52.413650850138524,554.5100402832031,1020.385986328125,542.9377746582031,998.0941467285156,0.016667
3,15.0,537.9559326171875,990.5380249023438,0.6543315649032593,540.0758666992188,988.4180297851562,0.6618082523345947,536.7781982421875,988.4180297851562,0.7285969257354736,543.609130859375,989.1246948242188,0.7213699221611023,535.1293334960938,989.5958251953125,0.6709928512573242,545.9646606445312,998.3111572265625,0.669044017791748,540.5469970703125,998.0756225585938,0.5920641422271729,546.6713256835938,1015.741943359375,0.5616470575332642,544.0802612304688,1012.4442138671875,0.5095860362052917,540.7825317382812,1023.7506713867188,0.51197350025177,540.7825317382812,1019.7462768554688,0.49958524107933044,558.6843872070312,1020.4529418945312,0.599223256111145,550.20458984375,1020.924072265625,0.47833842039108276,549.7334594726562,1043.536865234375,0.5995440483093262,544.3157958984375,1044.7147216796875,0.5947030782699585,554.9155883789062,1071.3319091796875,0.6543464660644531,550.20458984375,1070.86083984375,0.5980494022369385,141.8802557467464,141.3514967840683,153.40454365017956,148.24488825928114,21.671934252264656,25.96195949279989,14.796633800254723,8.012187197542886,17.445104777136816,9.940705143314053,49.936767578125,51.018360975347655,89.37728640510551,101.51384340565836,535.1293334960938,988.4180297851562,558.6843872070312,1071.3319091796875,84.0968685944276,right_ear,left_ankle,49.63584873776364,51.975703250901766,554.4444885253906,1020.6885070800781,543.2558288574219,998.1933898925781,0.033333
4,22.0,537.8201293945312,990.5670776367188,0.6593123078346252,539.9381103515625,988.4490966796875,0.6698775887489319,536.8788452148438,988.4490966796875,0.7308940887451172,543.4680786132812,989.1550903320312,0.7264559268951416,535.2315063476562,989.6257934570312,0.6738432049751282,546.0567016601562,998.5682983398438,0.6752985715866089,540.6441040039062,997.8623046875,0.5907912254333496,546.7626953125,1015.9827270507812,0.5744365453720093,544.4093627929688,1011.9821166992188,0.5051299333572388,540.6441040039062,1023.9839477539062,0.526593804359436,540.8794555664062,1019.7479858398438,0.5057026147842407,558.5291748046875,1020.6893310546875,0.5963442325592041,550.2926025390625,1020.9246215820312,0.4750594198703766,549.5866088867188,1043.7515869140625,0.6041113138198853,544.4093627929688,1044.9283447265625,0.5925085544586182,554.9992065429688,1071.2852783203125,0.6650574803352356,550.2926025390625,1071.0499267578125,0.6117232441902161,140.6249235379915,140.27305288020312,153.5357913530955,147.6843734797228,21.88694656319208,25.98560079211136,14.61322226597849,8.530472937501756,17.42873358467201,10.072571287497304,50.12530517578125,50.71893685434117,89.38388339938888,102.02228887368395,535.2315063476562,988.4490966796875,558.5291748046875,1071.2852783203125,84.01805424519314,right_ear,left_ankle,49.431617839793965,52.158378788834916,554.410888671875,1020.8069763183594,543.3504028320312,998.2153015136719,0.05
5,29.0,537.6041870117188,990.5224609375,0.6542291641235352,539.66064453125,988.466064453125,0.6669816970825195,536.4617309570312,988.466064453125,0.7295994162559509,543.5449829101562,988.9230346679688,0.7218940258026123,535.0908203125,989.3800048828125,0.6607626080513,546.058349609375,998.2911987304688,0.6709344387054443,541.0315551757812,997.605712890625,0.5940076112747192,546.7438354492188,1015.427978515625,0.5639008283615112,544.4589233398438,1011.5436401367188,0.529248833656311,541.0315551757812,1024.796142578125,0.5432777404785156,541.2600708007812,1020.4547729492188,0.5152549743652344,558.6253662109375,1020.4547729492188,0.6035202145576477,550.628173828125,1020.6832885742188,0.47330594062805176,549.2572021484375,1043.0753173828125,0.5939111113548279,544.2304077148438,1044.2177734375,0.5759825706481934,554.7410278320312,1071.63671875,0.6530299186706543,550.399658203125,1070.9512939453125,0.5966359376907349,146.4381916485229,146.33640183235914,151.79729624654118,146.63480288828686,22.850202733282114,26.97741111828598,14.35314141397038,9.467890238520974,17.150484315073033,10.972358170613084,50.26852477822658,51.32913072121866,89.42699855794426,100.73888612169685,535.0908203125,988.466064453125,558.6253662109375,1071.63671875,84.57125771672666,right_ear,left_ankle,48.805626895120305,51.31696299075012,554.6267700195312,1020.5690307617188,543.5449523925781,997.9484558105469,0.066667
6,36.0,537.5303955078125,990.7960205078125,0.6530431509017944,539.5906982421875,988.5067749023438,0.6647241711616516,536.6146850585938,988.5067749023438,0.7292596101760864,543.482421875,988.9646606445312,0.7171176075935364,535.2411499023438,989.4224853515625,0.653988778591156,546.0005493164062,998.3505249023438,0.6813367605209351,540.9642333984375,997.6637573242188,0.6050103902816772,546.6873168945312,1015.519775390625,0.5790035724639893,544.3981323242188,1011.8569946289062,0.5418506264686584,540.9642333984375,1024.6767578125,0.5435073375701904,541.1931762695312,1020.3271484375,0.5194586515426636,558.5913696289062,1020.3271484375,0.6131937503814697,551.036865234375,1020.5560913085938,0.48028820753097534,549.4344482421875,1043.219482421875,0.6068937182426453,544.3981323242188,1044.13525390625,0.5932744741439819,554.6996459960938,1071.6060791015625,0.669119656085968,550.35009765625,1070.9193115234375,0.6111636161804199,145.6735075397748,145.70415174354702,151.74667926493765,147.69070791807832,22.664547460555664,26.80363813487601,14.602727382912224,9.056227076090423,17.182980301324612,10.798333750064794,50.36790247881293,51.42639636299554,89.42122456337,100.83006505737598,535.2411499023438,988.5067749023438,558.5913696289062,1071.6060791015625,84.4557644681257,right_ear,left_ankle,48.89808540096339,51.41416317510812,554.8141174316406,1020.4416198730469,543.4823913574219,998.0071411132812,0.083333
7,43.0,536.8711547851562,990.9481201171875,0.6804042458534241,538.95947265625,988.6277465820312,0.6830460429191589,535.9429931640625,988.8598022460938,0.7310007214546204,543.1361083984375,989.0918579101562,0.7223336696624756,535.0148315429688,989.7879638671875,0.6029598116874695,545.2244262695312,997.9091796875,0.6827850937843323,542.2080078125,997.2130737304688,0.5457899570465088,546.6166381835938,1015.3118896484375,0.5927779674530029,545.9205322265625,1011.599365234375,0.451607346534729,540.583740234375,1023.6652221679688,0.5477274656295776,541.5118408203125,1019.95263671875,0.48890912532806396,558.6825561523438,1020.4166870117188,0.6037057638168335,551.4894409179688,1020.6487426757812,0.4491058588027954,549.6331176757812,1043.8524169921875,0.5862630009651184,544.5283203125,1044.5484619140625,0.5674837231636047,554.7379150390625,1071.464599609375,0.6453456878662109,550.3292236328125,1070.7685546875,0.5896743535995483,137.70574988144878,139.588731803533,151.28597050327653,148.4122204505501,22.750216996306253,26.170779337509327,14.857598081802296,9.44530065202877,17.458309425547792,10.304077923208176,50.13323907587463,51.20009349689256,91.75355066447055,100.21388175959487,535.0148315429688,988.6277465820312,558.6825561523438,1071.464599609375,84.02423964997163,right_ear,left_ankle,49.85098944040797,51.575224271629686,555.0859985351562,1020.53271484375,543.7162170410156,997.5611267089844,0.1
8,50.0,536.9476928710938,990.779541015625,0.6619882583618164,539.0770263671875,988.6502075195312,0.6549818515777588,536.0013427734375,988.6502075195312,0.7110583186149597,543.0991821289062,989.1233520507812,0.6939937472343445,535.29150390625,989.5965576171875,0.5831407308578491,544.991943359375,997.8773803710938,0.6846166849136353,542.389404296875,997.4041748046875,0.5520263910293579,546.4114990234375,1015.1488037109375,0.5707051753997803,546.1748657226562,1011.8364868164062,0.4642540514469147,540.4966430664062,1022.2466430664062,0.504933774471283,540.9697875976562,1018.934326171875,0.4939829409122467,558.477783203125,1020.3538818359375,0.5976172089576721,550.9067993164062,1020.3538818359375,0.446840763092041,549.7238159179688,1043.7767333984375,0.5972403883934021,544.5187377929688,1044.72314453125,0.5742124319076538,554.6923217773438,1071.4583740234375,0.6546965837478638,550.43359375,1070.74853515625,0.5910473465919495,129.04909813213195,135.49584056862133,152.5069533986146,149.3319412437255,21.57690268473922,24.780409379933868,14.920500936955138,8.801827185499302,17.32966250298809,9.239309741992045,50.39687497040428,51.2445005824852,93.77240623446734,100.45163159660619,535.29150390625,988.6502075195312,558.477783203125,1071.4583740234375,84.12935706040984,right_ear,left_ankle,51.21827562356421,52.67139526883284,554.6922912597656,1020.3538818359375,543.690673828125,997.6407775878906,0.116667
9,56.0,537.2374877929688,990.5296630859375,0.6524388790130615,539.3794555664062,988.3876342773438,0.6529456377029419,536.2854614257812,988.6256713867188,0.7077020406723022,543.1874389648438,989.1016845703125,0.6978607177734375,535.33349609375,989.57763671875,0.6085919141769409,545.5674438476562,998.3836059570312,0.6771849393844604,541.7594604492188,997.431640625,0.5787842273712158,546.5194091796875,1015.281494140625,0.5417277216911316,545.5674438476562,1011.2355346679688,0.4816121757030487,540.3314208984375,1023.3734741210938,0.5052769184112549,541.0454711914062,1018.6134643554688,0.5006945729255676,558.6573486328125,1020.2794799804688,0.6027663946151733,550.327392578125,1020.2794799804688,0.4740770757198334,550.327392578125,1043.84130859375,0.6117758750915527,544.139404296875,1044.7933349609375,0.5935142636299133,554.6113891601562,1071.44921875,0.6496388912200928,550.327392578125,1070.4971923828125,0.5903041362762451,133.07343390396045,139.37020021852743,152.29698562986187,151.70926097901048,21.193853760204178,25.532517447011955,14.319505169952059,8.653443428922762,16.924682066692615,10.186821828872553,50.21771240234375,51.32944529016894,91.93057447074202,101.83375637941933,535.33349609375,988.3876342773438,558.6573486328125,1071.44921875,84.1106004340683,right_ear,left_ankle,50.151716971400916,52.70745012467025,554.4923706054688,1020.2794799804688,543.6634521484375,997.9076232910156,0.133333
10,64.0,537.3530883789062,990.5604248046875,0.648642897605896,539.5089721679688,988.4046020507812,0.6465965509414673,536.3949584960938,988.6441650390625,0.7025911808013916,543.341552734375,989.1232299804688,0.7012355327606201,535.4368286132812,989.3627319335938,0.6038992404937744,545.2578125,998.7046508789062,0.6991616487503052,542.1438598632812,997.0278930664062,0.5781416296958923,546.4555053710938,1015.4722290039062,0.5909374952316284,545.4973754882812,1011.6396484375,0.48243921995162964,540.2275390625,1023.616455078125,0.5281693935394287,541.1857299804688,1019.3048095703125,0.48068445920944214,558.671875,1020.262939453125,0.6071838140487671,550.5276489257812,1020.262939453125,0.4649173617362976,550.0485229492188,1043.97705078125,0.6119860410690308,544.0601196289062,1044.216552734375,0.5793282985687256,554.3602294921875,1071.7633056640625,0.6482096910476685,550.7671508789062,1070.3260498046875,0.5764448046684265,137.71629763025985,138.50886906509382,150.4836106038209,151.1963376643684,22.29751156058337,25.41459500594552,14.99164640964448,8.794599602996097,16.810298759732003,10.252608579720745,50.06368323703596,51.6805379891281,92.46277286973923,101.41585119655207,535.4368286132812,988.4046020507812,558.671875,1071.7633056640625,84.54554779486739,right_ear,left_ankle,50.17820403448066,51.91310606664584,554.5997619628906,1020.262939453125,543.7008361816406,997.8662719726562,0.15
