frame,tracker_id,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf,right_elbow_angle,left_elbow_angle,right_knee_angle,left_knee_angle,right_shoulder_wrist_dist,left_shoulder_wrist_dist,right_upper_arm_len,right_forearm_len,left_upper_arm_len,left_forearm_len,right_hip_ankle_dist,left_hip_ankle_dist,right_shoulder_wrist_alpha,left_shoulder_wrist_alpha,pose_bbox_x1,pose_bbox_y1,pose_bbox_x2,pose_bbox_y2,max_kpt_distance,max_kpt_1_name,max_kpt_2_name,dist_lw_la,dist_rw_ra,mid_hip_x,mid_hip_y,mid_shoulder_x,mid_shoulder_y,timestamp
1,1.0,539.2062377929688,987.4714965820312,0.6203914880752563,541.1561279296875,985.0341796875,0.5786675214767456,538.2313232421875,985.0341796875,0.6941032409667969,543.8372802734375,985.5216064453125,0.5733819007873535,537.25634765625,985.5216064453125,0.547380805015564,545.2996826171875,994.0524291992188,0.7089824676513672,544.5684814453125,993.56494140625,0.536450982093811,545.5433959960938,1010.1390380859375,0.5532822608947754,545.0559692382812,1010.3828125,0.48751020431518555,541.1561279296875,1018.4260864257812,0.5673819780349731,540.9124145507812,1018.4260864257812,0.4692302346229553,557.2427978515625,1017.6948852539062,0.6350284218788147,559.68017578125,1016.9636840820312,0.4636044502258301,547.005859375,1041.8248291015625,0.5618767738342285,546.2745971679688,1043.0435791015625,0.4087452292442322,553.5867309570312,1069.8546142578125,0.6175978779792786,551.1493530273438,1069.3671875,0.5624567270278931,151.08406228543015,151.23472037549283,142.30443965819362,143.7986179369044,25.128536702710146,24.7233535760476,16.824934843091825,9.04783404431446,16.088454919143622,9.37674203939807,53.09333392560338,52.28770558074074,98.36592257029976,99.64812061740085,537.25634765625,985.0341796875,559.68017578125,1069.8546142578125,85.89957872686932,right_ear,left_ankle,52.90948276626242,51.959510082627766,558.4614868164062,1017.3292846679688,544.93408203125,993.8086853027344,0.0
2,7.0,539.7584838867188,987.1026611328125,0.6365032196044922,541.7183227539062,984.6529541015625,0.5997304916381836,538.5336303710938,984.6529541015625,0.7100114822387695,544.1680297851562,985.3878784179688,0.5938211679458618,537.0637817382812,985.6328125,0.5800738334655762,545.14794921875,993.9619750976562,0.7108732461929321,544.657958984375,993.4719848632812,0.5338815450668335,545.6378784179688,1010.3751831054688,0.5705949068069458,545.3928833007812,1010.3751831054688,0.4760568141937256,540.9833984375,1018.4593505859375,0.577006995677948,540.9833984375,1018.21435546875,0.46975192427635193,557.1516723632812,1017.7244262695312,0.6338738203048706,559.6013793945312,1016.989501953125,0.4580133557319641,546.8627319335938,1041.7318115234375,0.5732643604278564,546.372802734375,1043.20166015625,0.4112478196620941,553.7219848632812,1069.658935546875,0.6254478693008423,551.2722778320312,1069.4139404296875,0.5662103891372681,148.15295928953313,148.35895046481798,142.63385423568698,143.00187965767375,25.013742190864093,24.848840798384398,16.919167372111897,8.994230378455903,16.420518497537387,9.32834110337164,53.08197135017996,52.04763212890823,98.4474163431495,99.6480383789658,537.0637817382812,984.6529541015625,559.6013793945312,1069.658935546875,85.66145624283034,right_ear,left_ankle,52.76048790808663,52.2231609476817,558.3765258789062,1017.3569641113281,544.9029541015625,993.7169799804688,0.016567
3,13.0,540.41943359375,987.1582641601562,0.6632108092308044,542.3739624023438,984.715087890625,0.6279127597808838,538.9535522460938,984.715087890625,0.7342032194137573,544.817138671875,985.4480590820312,0.6178455352783203,536.7546997070312,985.6923828125,0.6108620166778564,545.3057861328125,994.2434692382812,0.7050731182098389,544.5728149414062,993.510498046875,0.5215580463409424,545.7943725585938,1010.8569946289062,0.5641487240791321,545.3057861328125,1010.3683471679688,0.45880573987960815,540.6637573242188,1018.4307861328125,0.5815415978431702,540.6637573242188,1018.1864624023438,0.46911466121673584,557.032958984375,1017.6978149414062,0.6276806592941284,559.9647216796875,1016.9649047851562,0.45206984877586365,547.2603149414062,1041.8851318359375,0.5664596557617188,546.7716674804688,1043.1068115234375,0.40610212087631226,553.612548828125,1069.492919921875,0.6294580101966858,551.1693725585938,1069.2486572265625,0.5670977830886841,146.81052792094803,144.20109492686862,143.67210188665328,145.04174134116866,24.983673635533584,24.628737889227924,16.873776215091652,9.092379076885255,16.62070824605255,9.147979581735157,53.018382996053155,51.90791948801991,99.00174143447164,100.86410217845862,536.7546997070312,984.715087890625,559.9647216796875,1069.492919921875,85.47933725064378,right_ear,left_ankle,52.6783893879051,52.131714835781146,558.4988403320312,1017.3313598632812,544.9393005371094,993.8769836425781,0.033333
4,19.0,537.72607421875,987.7930908203125,0.6923760175704956,539.3861694335938,985.4215698242188,0.6680734753608704,537.0146484375,985.4215698242188,0.7258596420288086,543.1806030273438,985.4215698242188,0.6437153816223145,536.7774658203125,985.8958740234375,0.5065876245498657,546.0264892578125,994.4334106445312,0.7096107006072998,543.89208984375,993.721923828125,0.5554333925247192,545.0778198242188,1011.5084228515625,0.5867263674736023,544.603515625,1010.559814453125,0.5126324892044067,540.3347778320312,1020.2831420898438,0.5578615665435791,541.2833862304688,1020.520263671875,0.4709770679473877,557.4098510742188,1017.6744384765625,0.6570086479187012,551.4810180664062,1017.9115600585938,0.47469362616539,548.6351318359375,1042.101318359375,0.5717787742614746,545.3150024414062,1042.5755615234375,0.5027326345443726,553.8525390625,1070.0853271484375,0.6336098313331604,550.76953125,1069.3739013671875,0.5652604103088379,159.14576323853794,154.78725288965927,154.45890878039333,149.67938941173048,26.925013517602277,26.46892885534182,16.85291331911756,10.499228916245608,17.101345431412735,9.974574930808684,51.46725936410559,52.53147361462834,95.55998043887259,102.41750379377318,536.7774658203125,985.4215698242188,557.4098510742188,1070.0853271484375,85.9035630443385,right_ear,left_ankle,51.60414232689448,49.76610154911108,554.4454345703125,1017.7929992675781,544.9592895507812,994.0776672363281,0.05
5,26.0,537.32470703125,987.676513671875,0.7057783603668213,539.03466796875,985.2337036132812,0.646741509437561,536.5918579101562,985.4779663085938,0.7218059301376343,543.1874389648438,985.2337036132812,0.6089953184127808,536.836181640625,985.4779663085938,0.4668195843696594,545.6302490234375,994.0277709960938,0.7081897258758545,543.676025390625,993.7835083007812,0.5499006509780884,545.1417236328125,1011.12744140625,0.6009864807128906,544.4088745117188,1010.3945922851562,0.5323708057403564,540.256103515625,1020.6543579101562,0.5677458643913269,540.74462890625,1020.165771484375,0.48547637462615967,557.355712890625,1017.7230224609375,0.6568893790245056,551.9815673828125,1017.7230224609375,0.46733859181404114,548.3173217773438,1042.1510009765625,0.5707442760467529,545.6302490234375,1042.8839111328125,0.472141295671463,553.6915283203125,1069.9990234375,0.6333024501800537,551.0044555664062,1069.510498046875,0.5652604699134827,156.91753782524444,154.48666775089166,154.42183705600067,148.7725877539798,26.54462084937384,27.163515432124495,16.627242073484332,10.435642711421382,17.106647397817568,10.706606465256323,51.79669270393462,52.404260577427095,96.3402644885811,101.41092523861646,536.5918579101562,985.2337036132812,557.355712890625,1069.9990234375,86.18533407651377,right_ear,left_ankle,51.14104668158288,50.40006034345937,554.6686401367188,1017.7230224609375,544.6531372070312,993.9056396484375,0.066667
6,33.0,536.7714233398438,987.8697509765625,0.7090935707092285,538.4727172851562,985.4393310546875,0.6607285141944885,536.5283813476562,985.682373046875,0.7144457697868347,542.361328125,985.4393310546875,0.6232684254646301,537.2575073242188,985.682373046875,0.4649847447872162,545.27783203125,993.9457397460938,0.7191958427429199,544.5487060546875,993.4596557617188,0.5571874976158142,544.791748046875,1010.9586791992188,0.5911675095558167,544.5487060546875,1010.4725952148438,0.5238662958145142,540.4169921875,1019.951171875,0.5690366625785828,541.1461181640625,1019.7081298828125,0.48442429304122925,557.429931640625,1017.520751953125,0.661382794380188,552.569091796875,1017.520751953125,0.46311289072036743,548.4373779296875,1041.824951171875,0.5761200785636902,545.5208740234375,1042.5540771484375,0.482230007648468,554.02734375,1069.774658203125,0.6333713531494141,551.11083984375,1069.28857421875,0.5701014995574951,159.77501680906022,155.69412782474768,152.46531875574388,148.38554556708004,26.468093963093683,26.45581720903244,17.012939453125,9.842393253507021,17.019882093468304,10.000170666199418,51.78835700120378,52.36457125516466,97.38606013627373,100.58734560505734,536.5283813476562,985.4393310546875,557.429931640625,1069.774658203125,85.7481185598117,right_ear,left_ankle,51.64902186434613,50.571890796198545,554.99951171875,1017.520751953125,544.9132690429688,993.7026977539062,0.083333
7,40.0,536.6266479492188,987.8299560546875,0.7050408124923706,538.0888061523438,985.3929443359375,0.6555304527282715,536.3829345703125,985.6366577148438,0.7054349184036255,541.7442626953125,985.3929443359375,0.6097700595855713,537.6014404296875,985.3929443359375,0.4575064778327942,545.1560668945312,993.1913452148438,0.7169348001480103,544.912353515625,993.1913452148438,0.5459305047988892,544.912353515625,1009.5191040039062,0.5599830150604248,544.4249877929688,1010.0065307617188,0.5097135901451111,540.7694702148438,1019.26708984375,0.5590413808822632,541.01318359375,1019.5107421875,0.4673731327056885,557.3410034179688,1017.3175048828125,0.6560536623001099,552.7107543945312,1017.3175048828125,0.45179906487464905,548.3241577148438,1042.1748046875,0.574030339717865,545.8871459960938,1042.662109375,0.46580731868743896,553.4418334960938,1069.468994140625,0.6307592391967773,551.7359619140625,1068.9815673828125,0.5557647943496704,161.91314710298428,157.82971208231808,152.4024768419729,149.44235847066096,26.606656743828633,26.442138498657375,16.82224688688922,10.098041528918246,16.329577559902326,10.591822788249736,51.67325782630591,52.29704922734539,98.42696902148067,99.54918268411494,536.3829345703125,985.3929443359375,557.3410034179688,1069.468994140625,85.5552464975617,right_ear,left_ankle,51.77663552380137,50.61956657668781,555.02587890625,1017.3175048828125,545.0342102050781,993.1913452148438,0.1
8,48.0,536.9708862304688,987.0117797851562,0.7039779424667358,538.4544067382812,984.5392456054688,0.6527457237243652,536.4763793945312,984.7864990234375,0.7139763832092285,542.6576538085938,984.7864990234375,0.6181005239486694,537.2181396484375,984.7864990234375,0.46152815222740173,545.37744140625,993.1930541992188,0.7127759456634521,543.8939208984375,993.1930541992188,0.5544925928115845,545.1301879882812,1008.7698974609375,0.5463443994522095,544.388427734375,1009.264404296875,0.510689377784729,541.1741333007812,1018.4126586914062,0.5563088655471802,540.6796264648438,1018.659912109375,0.4720313251018524,557.4927368164062,1017.4236450195312,0.651504397392273,552.7949829101562,1017.1763916015625,0.45419371128082275,548.09716796875,1041.9014892578125,0.573889970779419,545.8719482421875,1042.643310546875,0.4680481553077698,553.2894897460938,1069.8409423828125,0.6306514739990234,552.05322265625,1069.09912109375,0.5614128112792969,156.69636462898183,158.6029269198178,151.6410144820859,148.4733606049576,25.66890220718291,25.567484228446553,16.07895615306617,10.101028359113995,15.578805482220067,10.4227257873515,51.92802755923965,52.58555266234959,97.19353829382382,99.46241215236279,536.4763793945312,984.5392456054688,557.4927368164062,1069.8409423828125,86.55949762524368,right_ear,left_ankle,52.836069358353456,51.70563309055046,555.1438598632812,1017.3000183105469,544.6356811523438,993.1930541992188,0.116667
9,57.0,536.5183715820312,987.3672485351562,0.7025116682052612,537.98486328125,984.923095703125,0.6568083763122559,536.5183715820312,985.1675415039062,0.7078932523727417,541.8954467773438,984.923095703125,0.6154736280441284,537.98486328125,984.923095703125,0.4488992989063263,545.0728149414062,992.9887084960938,0.7104525566101074,544.3395385742188,992.9887084960938,0.5528181791305542,545.3171997070312,1008.1422119140625,0.5378423929214478,544.3395385742188,1009.119873046875,0.5069655179977417,541.4066162109375,1017.67431640625,0.5679241418838501,540.9177856445312,1017.918701171875,0.4692767262458801,557.2933959960938,1017.4298706054688,0.6442954540252686,553.8716430664062,1017.1854858398438,0.4466037154197693,548.2501220703125,1041.87109375,0.572950005531311,546.0504150390625,1042.35986328125,0.45919734239578247,553.627197265625,1069.7340087890625,0.6316710114479065,551.6719360351562,1069.000732421875,0.5681624412536621,158.74957024421204,156.7699699868764,150.82565981775622,148.7726349372892,25.163722457663766,24.956366943633032,16.13116455078125,9.44075047255863,15.155473920404475,10.303090765877098,51.86191752509766,52.43246975166972,97.81526925006197,98.44757116286412,536.5183715820312,984.923095703125,557.2933959960938,1069.7340087890625,86.2413682112545,right_ear,left_ankle,53.47479941343635,52.20177839164253,555.58251953125,1017.3076782226562,544.7061767578125,992.9887084960938,0.133333
10,65.0,536.2203979492188,987.1110229492188,0.6909682154655457,537.6971435546875,984.6497802734375,0.6455622911453247,536.2203979492188,984.8958740234375,0.6812120079994202,541.6351928710938,984.6497802734375,0.6128689050674438,538.435546875,984.6497802734375,0.4608575701713562,544.8348388671875,992.77197265625,0.7109518051147461,544.5887451171875,992.77197265625,0.5593466758728027,545.5732421875,1007.7857666015625,0.5457439422607422,544.5887451171875,1009.5086669921875,0.5151646733283997,541.1429443359375,1018.1231079101562,0.5918549299240112,540.8967895507812,1019.1076049804688,0.4806821346282959,557.6334838867188,1017.384765625,0.6554092168807983,554.433837890625,1017.1386108398438,0.45821666717529297,547.7883911132812,1041.5052490234375,0.5832638740539551,546.3116455078125,1042.48974609375,0.4632449150085449,553.4493408203125,1069.317626953125,0.6279404759407043,551.4802856445312,1068.825439453125,0.562388002872467,158.96219515372664,153.9857350952811,151.13144509442407,146.29166515451882,26.593158252090962,25.61855077657052,16.7366943359375,10.284461405790143,15.031940929093315,11.246695709581461,51.771147591772724,52.1011433552702,97.98020867824022,98.28575636881824,536.2203979492188,984.6497802734375,557.6334838867188,1069.317626953125,85.98871013108274,right_ear,left_ankle,52.65288381913689,50.83181537400438,556.0336608886719,1017.2616882324219,544.7117919921875,992.77197265625,0.15
