frame,tracker_id,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf,right_elbow_angle,left_elbow_angle,right_knee_angle,left_knee_angle,right_shoulder_wrist_dist,left_shoulder_wrist_dist,right_upper_arm_len,right_forearm_len,left_upper_arm_len,left_forearm_len,right_hip_ankle_dist,left_hip_ankle_dist,right_shoulder_wrist_alpha,left_shoulder_wrist_alpha,pose_bbox_x1,pose_bbox_y1,pose_bbox_x2,pose_bbox_y2,max_kpt_distance,max_kpt_1_name,max_kpt_2_name,dist_lw_la,dist_rw_ra,mid_hip_x,mid_hip_y,mid_shoulder_x,mid_shoulder_y,timestamp
1,1.0,533.029296875,986.3121948242188,0.7434858679771423,534.7860107421875,984.0535888671875,0.7012536525726318,531.0216674804688,984.3045654296875,0.7787688374519348,537.2955932617188,984.5554809570312,0.7093546390533447,529.0139770507812,985.308349609375,0.7099908590316772,538.8013305664062,994.0919189453125,0.7299765348434448,534.7860107421875,992.8370971679688,0.5859858989715576,538.2994384765625,1010.9061279296875,0.6137111186981201,536.542724609375,1008.1455688476562,0.4508224129676819,531.5235595703125,1015.42333984375,0.47389400005340576,532.7783203125,1015.92529296875,0.4513019323348999,550.5963745117188,1017.4310302734375,0.6385612487792969,545.5772094726562,1017.4310302734375,0.4598194658756256,542.5657348632812,1042.52685546875,0.6185187101364136,537.5465698242188,1043.02880859375,0.5045610070228577,547.3339233398438,1069.37939453125,0.6929874420166016,543.318603515625,1068.87744140625,0.6143136024475098,147.63257253558925,125.39955933135056,149.9943900812431,152.1863562038318,23.175323216660253,22.538754806285983,15.40893730206477,8.642618070391569,16.82169787625746,8.143570373534688,51.495966048958735,52.050707360335075,94.96979301626024,108.8384145543602,529.0139770507812,984.0535888671875,550.5963745117188,1069.37939453125,86.04394822583433,right_ear,left_ankle,56.224758247282814,53.99099549136979,548.0867919921875,1017.4310302734375,536.7936706542969,993.4645080566406,0.0
2,6.0,532.4544677734375,986.35546875,0.7221348285675049,534.4486694335938,984.1119995117188,0.6904972791671753,530.7095336914062,984.3612670898438,0.7649757862091064,537.190673828125,984.6105346679688,0.7154202461242676,528.71533203125,985.3583374023438,0.6904820203781128,538.43701171875,994.3322143554688,0.7298364043235779,534.6979370117188,992.8365478515625,0.5821833610534668,538.187744140625,1011.0335693359375,0.6346884965896606,536.692138671875,1008.2915649414062,0.43431025743484497,531.7066650390625,1014.7726440429688,0.47205641865730286,533.2022705078125,1016.766845703125,0.4556052088737488,550.6514282226562,1017.265380859375,0.6431424617767334,545.4166870117188,1017.265380859375,0.4635242223739624,542.6746826171875,1042.6912841796875,0.6261464357376099,537.43994140625,1042.9405517578125,0.5063773393630981,547.410888671875,1069.3636474609375,0.6999691128730774,543.1732177734375,1068.8651123046875,0.6258979439735413,150.26719355855872,120.83665233774973,150.27068119755964,152.51300017314725,23.976992587799746,21.519961250857584,15.58314453211329,9.165673122717006,16.703215035110237,7.482316886197149,51.64847954636696,52.19895094221396,93.57638896243046,108.2249772302207,528.71533203125,984.1119995117188,550.6514282226562,1069.3636474609375,86.06053657829058,right_ear,left_ankle,56.8049319521647,53.043841982471044,548.0340576171875,1017.265380859375,536.5674743652344,993.5843811035156,0.016667
3,11.0,532.3291625976562,986.368896484375,0.6639352440834045,534.0814208984375,984.115966796875,0.6227501034736633,531.0775756835938,984.115966796875,0.7223001718521118,536.584716796875,984.6165771484375,0.6531769037246704,529.074951171875,985.1172485351562,0.6622531414031982,538.5872802734375,994.1289672851562,0.7358355522155762,535.3330688476562,992.8773193359375,0.5837206840515137,538.3369750976562,1011.4013671875,0.641435444355011,536.8350219726562,1008.3974609375,0.42626628279685974,531.0775756835938,1012.9032592773438,0.5165735483169556,532.829833984375,1015.9071655273438,0.45478004217147827,550.8532104492188,1017.4091186523438,0.640092670917511,546.0970458984375,1017.4091186523438,0.4645638167858124,542.5924682617188,1042.441650390625,0.625652551651001,537.5859985351562,1042.69189453125,0.5081770420074463,547.5989990234375,1069.226318359375,0.7039146423339844,543.0931396484375,1068.9759521484375,0.62419193983078,146.39988535115123,102.5192217853586,149.5613498673695,151.14966980474912,23.165491585126695,20.220526769464637,15.592647578979276,8.51100427964836,17.27421347174763,7.413134269823136,51.65425219256054,51.91928425433121,96.2034250640699,111.80137737110759,529.074951171875,984.115966796875,550.8532104492188,1069.226318359375,86.12476981392915,right_ear,left_ankle,58.69620442185607,54.0521188908368,548.4751281738281,1017.4091186523438,536.9601745605469,993.5031433105469,0.033333
4,16.0,532.5658569335938,986.2631225585938,0.6427698135375977,534.3095092773438,983.7721557617188,0.6193466186523438,531.0712280273438,984.021240234375,0.7174454927444458,536.8004760742188,984.5194702148438,0.6405349373817444,529.0784912109375,985.0176391601562,0.6446141004562378,538.2950439453125,993.985107421875,0.7410196661949158,535.5549926757812,992.98876953125,0.5974637269973755,538.0459594726562,1011.4219360351562,0.6439236402511597,537.2986450195312,1009.4291381835938,0.43543195724487305,531.3203735351562,1013.663818359375,0.5149802565574646,533.5621948242188,1018.1475219726562,0.46993181109428406,550.7499389648438,1017.1511840820312,0.6517614126205444,546.2661743164062,1017.1511840820312,0.4801711440086365,542.5297241210938,1042.55908203125,0.6217395663261414,537.5477905273438,1043.0572509765625,0.5130832195281982,547.2625732421875,1069.21240234375,0.7020077705383301,543.2769775390625,1068.96337890625,0.6174936294555664,150.74729661621257,109.25351714406762,148.92959179357723,152.0029572647695,25.237552727734062,20.87816302963437,16.53257526584506,9.485318969620295,17.438607603919017,7.089396487596262,51.89835093600261,52.177889633233306,94.52888167836575,109.51571113738494,529.0784912109375,983.7721557617188,550.7499389648438,1069.21240234375,86.13604928751181,right_ear,left_ankle,57.79099336547201,51.736141323953554,548.508056640625,1017.1511840820312,536.9250183105469,993.4869384765625,0.05
5,21.0,532.786376953125,986.0960693359375,0.6929811239242554,534.7828369140625,983.8500366210938,0.6721197366714478,531.0394897460938,984.099609375,0.7522916793823242,537.02880859375,984.5987548828125,0.680391788482666,529.0430297851562,985.347412109375,0.6796203851699829,538.5261840820312,994.0819091796875,0.740166425704956,535.0323486328125,993.0836791992188,0.5942144393920898,538.276611328125,1011.0517578125,0.6409104466438293,537.2783813476562,1008.55615234375,0.42991024255752563,532.0377197265625,1014.5455322265625,0.517036497592926,534.0341186523438,1017.789794921875,0.46401622891426086,550.7544555664062,1017.2906494140625,0.6472386121749878,545.5137329101562,1017.2906494140625,0.4803931713104248,542.5191040039062,1042.495849609375,0.622726559638977,537.5279541015625,1042.7454833984375,0.5117731690406799,547.2606811523438,1069.198486328125,0.7021955847740173,543.2677612304688,1068.6993408203125,0.6202385425567627,152.38140892528438,120.09137072434032,150.11164809550618,151.8370790536218,24.72627382350986,21.467650963642534,15.63464384514048,9.787001363888697,16.971683746171465,7.150540404221548,51.45772965152078,52.02528224578188,92.31372963497098,107.59242077485897,529.0430297851562,983.8500366210938,550.7544555664062,1069.198486328125,85.80725767075131,right_ear,left_ankle,56.733446454435686,51.740139339256494,548.1340942382812,1017.2906494140625,536.7792663574219,993.5827941894531,0.066667
6,26.0,532.2935791015625,986.3115234375,0.6758307814598083,534.2781372070312,984.0789184570312,0.656262993812561,530.8051147460938,984.3269653320312,0.7437567710876465,537.0068969726562,984.5750732421875,0.6678767204284668,529.0686645507812,985.3192749023438,0.6430298686027527,538.2472534179688,993.753662109375,0.7381576299667358,535.2703857421875,993.257568359375,0.5964406728744507,538.495361328125,1010.87060546875,0.6221866607666016,537.5030517578125,1009.1340942382812,0.4475759267807007,532.2935791015625,1016.5762329101562,0.5517956018447876,533.781982421875,1018.0646362304688,0.5038524270057678,550.8988647460938,1017.0723266601562,0.6534793376922607,546.185546875,1017.0723266601562,0.4841507375240326,542.7125244140625,1042.3756103515625,0.6190012097358704,537.7510986328125,1042.8717041015625,0.5011767148971558,547.4259033203125,1069.167236328125,0.6955946683883667,543.4567260742188,1068.919189453125,0.6129012107849121,149.37524533885264,131.78355767718352,149.54082958297496,152.0943232133042,24.85167923511345,23.586351473309904,16.03274373028231,9.674757737384365,17.118741411188324,8.42711619036041,51.91862521711938,52.21054562422029,93.43358260451505,104.62078042459244,529.0686645507812,984.0789184570312,550.8988647460938,1069.167236328125,85.83396093913458,right_ear,left_ankle,54.724773885052905,51.76665189303383,548.5422058105469,1017.0723266601562,536.7588195800781,993.505615234375,0.083333
7,31.0,531.2023315429688,986.2365112304688,0.6832507848739624,533.2042236328125,983.9844360351562,0.6452581286430359,530.201416015625,984.234619140625,0.7340382933616638,536.4572143554688,984.48486328125,0.6632083654403687,529.2005004882812,984.9853515625,0.5984930992126465,538.2088623046875,993.9937133789062,0.7400325536727905,535.456298828125,992.9927978515625,0.5988577604293823,538.2088623046875,1010.75927734375,0.635303258895874,537.4581298828125,1009.0076293945312,0.455328106880188,531.9530639648438,1016.5145874023438,0.5394592881202698,533.4544067382812,1018.2662353515625,0.4904909133911133,550.720458984375,1017.0150756835938,0.6559444069862366,546.2162475585938,1017.0150756835938,0.49055537581443787,542.4627685546875,1042.5386962890625,0.6213555335998535,537.7083740234375,1042.7889404296875,0.5169499516487122,547.4674072265625,1069.3135986328125,0.7009820938110352,543.4637451171875,1068.8131103515625,0.620884895324707,149.48983402310853,132.61393449671755,149.26158605199115,151.48469330533894,25.35259779600081,23.37359150084415,16.13945962296068,10.08719898116567,16.76556396484375,8.500506263708193,51.871115904268336,52.39959778861826,94.52890456230745,105.52411099675426,529.2005004882812,983.9844360351562,550.720458984375,1069.3135986328125,86.2840259592512,right_ear,left_ankle,55.03117692506315,51.52837497000144,548.4683532714844,1017.0150756835938,536.8325805664062,993.4932556152344,0.1
8,36.0,531.8982543945312,986.455078125,0.6731760501861572,533.634765625,984.2224731445312,0.6527317762374878,530.4098510742188,984.2224731445312,0.7343490123748779,536.859619140625,984.7185668945312,0.676012396812439,529.1694946289062,985.2147216796875,0.6229243278503418,538.3480224609375,994.1452026367188,0.7378179430961609,534.8750610351562,993.1528930664062,0.599878191947937,538.8441772460938,1011.2619018554688,0.6106663942337036,537.3557739257812,1008.5331420898438,0.44703376293182373,532.1463623046875,1015.2310180664062,0.524604856967926,533.3866577148438,1017.2155151367188,0.47812241315841675,550.75146484375,1017.2155151367188,0.6500220894813538,546.0381469726562,1017.2155151367188,0.4865111708641052,542.317138671875,1042.5185546875,0.614825963973999,537.6038208007812,1043.0146484375,0.5047341585159302,547.2785034179688,1069.3099365234375,0.696984052658081,543.5574951171875,1068.813720703125,0.6166461706161499,146.27020963938568,118.99058083521858,148.90154271924493,151.0736201583084,24.108611020600243,21.978903544728208,15.579024246359694,9.546595478024003,17.12388862717783,7.78553841974026,51.65780145632562,52.21005842442608,93.53954424302819,106.38941462691332,529.1694946289062,984.2224731445312,550.75146484375,1069.3099365234375,86.0229118255062,right_ear,left_ankle,56.156131598913504,52.59107102102059,548.3948059082031,1017.2155151367188,536.6115417480469,993.6490478515625,0.116667
9,41.0,532.053955078125,986.2928466796875,0.6484683156013489,533.794677734375,984.0547485351562,0.641179084777832,530.5618896484375,984.3034057617188,0.7149938344955444,537.0274047851562,984.5521240234375,0.6776106357574463,529.06982421875,985.2981567382812,0.6331368088722229,538.5194702148438,994.2503662109375,0.73658287525177,534.7893676757812,993.2556762695312,0.6018332242965698,538.7681274414062,1011.408935546875,0.6087123155593872,537.276123046875,1008.4248046875,0.44391536712646484,532.053955078125,1014.890380859375,0.5222102999687195,533.2973022460938,1016.3823852539062,0.4686378836631775,550.7045288085938,1016.8797607421875,0.6536035537719727,545.9796752929688,1016.8797607421875,0.48869895935058594,542.2495727539062,1042.4931640625,0.6117299795150757,537.7734375,1042.990478515625,0.5003832578659058,547.2230834960938,1069.3499755859375,0.6923860907554626,543.4929809570312,1068.8526611328125,0.6098978519439697,144.12478443880994,116.57747082396091,150.08227823618037,151.24046745176312,23.174790779949664,21.628987277976144,15.371610495861868,8.896859189375538,17.16037097712332,7.563105974913874,52.032355546661655,52.58558649680738,93.69143456261509,107.39324221310508,529.06982421875,984.0547485351562,550.7045288085938,1069.3499755859375,85.98981959505258,right_ear,left_ankle,56.53273312641324,53.45167644878124,548.3421020507812,1016.8797607421875,536.6544189453125,993.7530212402344,0.133233
10,46.0,527.9876708984375,987.1664428710938,0.6837431192398071,529.4885864257812,984.9150390625,0.6373025178909302,528.4879760742188,985.1652221679688,0.6644697785377502,533.9913330078125,985.1652221679688,0.6486455202102661,530.239013671875,985.4153442382812,0.5156095027923584,537.7435913085938,994.4208374023438,0.7235917448997498,536.24267578125,993.4202270507812,0.5751559734344482,538.4940795898438,1012.1817016601562,0.6175591945648193,536.9931640625,1010.1804809570312,0.4719328284263611,531.4898071289062,1018.6856689453125,0.5463187098503113,532.4904174804688,1018.1853637695312,0.4603322744369507,551.001708984375,1017.1847534179688,0.6595926284790039,547.749755859375,1016.9345703125,0.4731292724609375,541.9962158203125,1042.2000732421875,0.6081268191337585,537.9937744140625,1042.4501953125,0.4689309000968933,546.999267578125,1069.4666748046875,0.6735740900039673,543.4971313476562,1068.96630859375,0.5644690990447998,148.07837619368138,130.45929997854893,147.3503458096515,149.80382315900513,25.047783116558666,25.05777057869995,16.777048121235808,9.184382157981668,17.776713190146687,9.558316962385701,52.20523540609857,52.43490098300467,98.61556870662628,104.45234326398496,527.9876708984375,984.9150390625,551.001708984375,1069.4666748046875,85.70608077018377,right_ear,left_ankle,53.096646970555106,51.96010111031816,549.375732421875,1017.0596618652344,536.9931335449219,993.9205322265625,0.1498
