frame,tracker_id,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf,right_elbow_angle,left_elbow_angle,right_knee_angle,left_knee_angle,right_shoulder_wrist_dist,left_shoulder_wrist_dist,right_upper_arm_len,right_forearm_len,left_upper_arm_len,left_forearm_len,right_hip_ankle_dist,left_hip_ankle_dist,right_shoulder_wrist_alpha,left_shoulder_wrist_alpha,pose_bbox_x1,pose_bbox_y1,pose_bbox_x2,pose_bbox_y2,max_kpt_distance,max_kpt_1_name,max_kpt_2_name,dist_lw_la,dist_rw_ra,mid_hip_x,mid_hip_y,mid_shoulder_x,mid_shoulder_y,timestamp
1,1.0,531.685546875,986.4782104492188,0.7413408756256104,533.2276611328125,984.4220581054688,0.6968233585357666,529.886474609375,984.4220581054688,0.7836266160011292,536.5687866210938,984.9360961914062,0.6742814779281616,528.3444213867188,985.4501342773438,0.6410490274429321,537.33984375,994.1885375976562,0.7343946099281311,537.0828247070312,993.1604614257812,0.5327222347259521,538.3678588867188,1010.894287109375,0.6585134267807007,537.33984375,1010.894287109375,0.41552984714508057,532.4566040039062,1022.7168579101562,0.5782152414321899,533.7416381835938,1020.9177856445312,0.472368061542511,549.9334106445312,1018.34765625,0.6724702715873718,550.4474487304688,1017.8336181640625,0.4959603548049927,540.6809692382812,1043.5347900390625,0.6349188685417175,544.5361328125,1043.5347900390625,0.5575121641159058,545.8212280273438,1071.0350341796875,0.6882121562957764,547.1062622070312,1069.2359619140625,0.6227053999900818,159.42268952350955,149.9137191926717,161.33651694172895,149.241922385802,27.957692593796178,28.943239111585797,17.73568809391217,10.649770240826626,16.73734990581287,13.218022341827844,51.51081896434539,52.84760958627003,96.86374710904691,99.71327784759104,528.3444213867188,984.4220581054688,550.4474487304688,1071.0350341796875,87.3510953660456,right_ear,left_ankle,50.13241798777848,50.13241798777848,550.1904296875,1018.0906372070312,537.2113342285156,993.6744995117188,0.0
2,3.0,531.3970336914062,986.6815795898438,0.7543361186981201,533.1915893554688,984.3743286132812,0.7134636640548706,529.85888671875,984.6306762695312,0.7922990322113037,536.5242919921875,984.8870239257812,0.6871933341026306,528.3206787109375,985.3997192382812,0.635624349117279,537.5497436523438,994.1160888671875,0.739498496055603,537.2933959960938,993.0906372070312,0.5333535671234131,538.5751953125,1010.7796020507812,0.662422776222229,537.2933959960938,1010.7796020507812,0.4095859229564667,532.1661376953125,1022.0595703125,0.5368146896362305,533.4479370117188,1020.5213623046875,0.4728373885154724,550.1115112304688,1018.214111328125,0.6704968214035034,550.6242065429688,1017.957763671875,0.49765944480895996,540.6260986328125,1043.593994140625,0.6340494155883789,544.7279052734375,1043.593994140625,0.5576691031455994,545.7532958984375,1071.0247802734375,0.685822069644928,547.29150390625,1069.230224609375,0.6247094869613647,158.45888435359154,146.87413798026338,161.33676349262876,148.9201860367771,27.698957276108768,28.457360530890885,17.68896484375,10.47327301492222,16.695035870794644,12.97357712914258,51.38065937152087,52.99019527546343,97.98017567576997,100.90502093818385,528.3206787109375,984.3743286132812,550.6242065429688,1071.0247802734375,87.38161831460981,right_ear,left_ankle,50.81537813059586,50.63790686215583,550.3678588867188,1018.0859375,537.4215698242188,993.6033630371094,0.016567
3,5.0,531.5723876953125,986.6610717773438,0.7325627207756042,533.1107177734375,984.3536987304688,0.6900799870491028,530.0341186523438,984.6100463867188,0.773045539855957,536.4436645507812,984.866455078125,0.677329421043396,528.752197265625,985.3792114257812,0.6222517490386963,537.4691772460938,994.3525390625,0.7391259670257568,537.98193359375,992.814208984375,0.5406128168106079,538.23828125,1011.2736206054688,0.6413406133651733,537.4691772460938,1010.7608642578125,0.4247095584869385,532.597900390625,1023.067138671875,0.5525814294815063,533.6234741210938,1020.759765625,0.4690794050693512,550.0317993164062,1018.4523315429688,0.671168327331543,550.5445556640625,1017.9395751953125,0.4963884949684143,540.8021240234375,1043.57763671875,0.631316602230072,544.6478271484375,1043.57763671875,0.5507432222366333,546.1860961914062,1071.0103759765625,0.6892902851104736,546.9552612304688,1069.2156982421875,0.6155356168746948,160.59918910070664,151.8375835205711,161.90450613724437,148.72561762398988,28.2833927407793,29.124861698029477,17.95397879512126,10.712957625062224,16.938551341617803,13.072909569849188,51.40159364503491,52.69855279995125,98.86457967743448,99.62825336908992,528.752197265625,984.3536987304688,550.5445556640625,1071.0103759765625,87.38785484309209,right_ear,left_ankle,49.83164725727967,50.25648170466286,550.2881774902344,1018.1959533691406,537.7255554199219,993.5833740234375,0.033333
4,7.0,531.048583984375,986.5125732421875,0.74045729637146,532.8512573242188,984.19482421875,0.6956354379653931,529.50341796875,984.4523315429688,0.7754262089729309,535.9415283203125,984.7098999023438,0.6663907766342163,528.4733276367188,985.2249145507812,0.5981721878051758,536.9716186523438,994.4957885742188,0.721408486366272,539.0317993164062,992.9506225585938,0.528315007686615,538.2592163085938,1011.2348022460938,0.6445044875144958,538.001708984375,1010.977294921875,0.39537155628204346,532.336181640625,1022.8233642578125,0.5474736094474792,533.6238403320312,1020.5056762695312,0.4525827169418335,549.8478393554688,1018.4454956054688,0.6666927337646484,551.3929443359375,1017.930419921875,0.4971449673175812,540.83447265625,1043.6827392578125,0.632280170917511,544.6973266601562,1043.6827392578125,0.539206862449646,546.2424926757812,1070.9803466796875,0.6860251426696777,546.7575073242188,1069.4351806640625,0.609376072883606,158.59378759427213,148.52930978435631,160.85186415826118,149.1400896582193,28.080723021128442,28.704334522844174,18.056079380231807,10.48598040449903,16.78846289663228,13.01449611692326,51.71293508784423,52.6584190996186,101.10374892136288,99.29333920370203,528.4733276367188,984.19482421875,551.3929443359375,1070.9803466796875,87.5770367493722,right_ear,left_ankle,50.124649052011186,50.6615200024252,550.6203918457031,1018.1879577636719,538.001708984375,993.7232055664062,0.05
5,9.0,531.495849609375,986.6672973632812,0.710051953792572,533.0377197265625,984.3545532226562,0.6608607769012451,529.9540405273438,984.6115112304688,0.753990650177002,535.8644409179688,984.8684692382812,0.6479624509811401,528.6691284179688,985.3824462890625,0.6129287481307983,536.892333984375,994.3765258789062,0.7270029187202454,538.9481201171875,992.8346557617188,0.5357680320739746,538.4341430664062,1011.079833984375,0.6374115347862244,537.9202270507812,1011.079833984375,0.4061167240142822,532.5237426757812,1022.900634765625,0.5596818923950195,533.8086547851562,1020.8448486328125,0.44794148206710815,549.7410278320312,1018.275146484375,0.6706106662750244,551.5398559570312,1018.0181274414062,0.5021989345550537,541.00390625,1043.715576171875,0.6256017684936523,544.6015625,1043.4586181640625,0.5318471193313599,546.400390625,1070.954833984375,0.6888603568077087,546.6573486328125,1069.4129638671875,0.6081602573394775,160.3909181832793,148.16117061843718,160.2161113074066,149.83975602698723,28.477798520514575,28.856704208951314,18.27410989713195,10.595307337668673,16.774315989382462,13.216057047678811,51.62623450343692,52.785503048153835,100.39729473889533,98.70743718137892,528.6691284179688,984.3545532226562,551.5398559570312,1070.954833984375,87.39010925345822,right_ear,left_ankle,50.01767108594591,50.23893660310027,550.6404418945312,1018.1466369628906,537.9202270507812,993.6055908203125,0.066667
6,11.0,531.0701904296875,986.7543334960938,0.7030385732650757,532.6151123046875,984.4368896484375,0.6483138203620911,529.5252075195312,984.6943969726562,0.7403236627578735,535.705078125,984.6943969726562,0.6365349292755127,528.4952392578125,985.4668579101562,0.5838974714279175,536.9925537109375,994.2216796875,0.7099449038505554,538.280029296875,993.1917114257812,0.5261367559432983,538.280029296875,1010.9588012695312,0.5883568525314331,537.7650146484375,1010.9588012695312,0.4018758535385132,533.130126953125,1023.06103515625,0.5072896480560303,533.902587890625,1021.0010986328125,0.4398356080055237,549.8672485351562,1018.1686401367188,0.669780433177948,551.4122314453125,1017.9111328125,0.4877825975418091,540.8549194335938,1043.9180908203125,0.6240863800048828,544.7173461914062,1043.6605224609375,0.5371555685997009,546.2623291015625,1070.9549560546875,0.6850132346153259,547.0347900390625,1069.409912109375,0.6082988381385803,160.62283266200703,152.5499147854244,160.2829301136406,149.3999042100813,28.15180296350032,29.09685145015499,17.77455264145879,10.759464521621489,16.78656701759122,13.152397469625276,51.68448763733073,52.9092675465679,98.94545795950589,97.62817519497625,528.4952392578125,984.4368896484375,551.4122314453125,1070.9549560546875,87.31485787587867,right_ear,left_ankle,49.661679314066845,50.15842855867841,550.6397399902344,1018.0398864746094,537.6362915039062,993.7066955566406,0.083333
7,13.0,531.0462646484375,986.6317138671875,0.7071493864059448,532.5888671875,984.31787109375,0.6528782844543457,529.503662109375,984.574951171875,0.7419706583023071,535.6740112304688,984.83203125,0.6409233808517456,528.732421875,985.3462524414062,0.5864872932434082,536.95947265625,994.3446044921875,0.7149699330329895,539.2733154296875,993.05908203125,0.5300794839859009,537.9878540039062,1011.3129272460938,0.6065077185630798,537.7307739257812,1011.0558471679688,0.40915390849113464,533.10302734375,1023.3964233398438,0.5432828664779663,534.1314086914062,1021.0825805664062,0.4450960159301758,549.8142700195312,1018.2545166015625,0.6722647547721863,551.8710327148438,1017.7402954101562,0.495349258184433,540.81591796875,1043.964111328125,0.6300379037857056,544.67236328125,1043.70703125,0.543872594833374,546.2149047851562,1070.9591064453125,0.6898803114891052,546.9862060546875,1069.4166259765625,0.6112532615661621,165.15200672193114,154.5204561742157,159.36249317400603,149.40005820775212,28.491326312670786,29.30666048538008,18.062751442609425,10.65320668783674,16.999457205362173,13.033511013822974,51.906691980016085,52.8273529593178,100.3972947573099,97.56144622331674,528.732421875,984.31787109375,551.8710327148438,1070.9591064453125,87.37961993164122,right_ear,left_ankle,49.336904587029984,50.01425557740582,550.8426513671875,1017.9974060058594,538.1163940429688,993.7018432617188,0.1
8,15.0,531.31787109375,986.922119140625,0.682673990726471,532.8596801757812,984.6094360351562,0.6279047727584839,530.0330200195312,984.6094360351562,0.7281597852706909,535.6863403320312,984.8663940429688,0.6285008788108826,529.0051879882812,985.3803100585938,0.5896278619766235,537.2281494140625,994.3741455078125,0.7216628193855286,538.5130004882812,993.08935546875,0.5205951929092407,538.2559814453125,1011.3340454101562,0.6143592000007629,537.7420654296875,1011.0770874023438,0.40890130400657654,533.1166381835938,1023.154541015625,0.542102038860321,533.8875732421875,1020.5848388671875,0.44688570499420166,549.5625610351562,1018.2721557617188,0.671972393989563,551.6182861328125,1017.7582397460938,0.4925805926322937,540.82568359375,1043.9688720703125,0.6286833882331848,544.9371337890625,1043.7119140625,0.5494543313980103,545.9650268554688,1071.20751953125,0.6910216808319092,547.2498779296875,1069.40869140625,0.6228771209716797,160.38624235229622,153.03335232955385,160.4211671161262,150.53711556269258,27.881825344167453,29.07259345473645,18.004245082185403,10.259359041418572,16.99101654939995,12.889412923817746,51.83485455682563,53.05746874462277,99.54917207498663,98.13015338763438,529.0051879882812,984.6094360351562,551.6182861328125,1071.20751953125,87.48683341088633,right_ear,left_ankle,49.7410276902949,50.619361545931255,550.5904235839844,1018.0151977539062,537.8705749511719,993.7317504882812,0.116667
9,17.0,531.2554931640625,986.706787109375,0.6972168684005737,532.7919311523438,984.658203125,0.6474831104278564,529.97509765625,984.658203125,0.7383468747138977,535.8648681640625,984.9142456054688,0.6500226855278015,528.9508056640625,985.4264526367188,0.6124979853630066,537.4013061523438,994.6452026367188,0.732086181640625,537.9134521484375,993.1087036132812,0.5348401069641113,538.1695556640625,1011.8023071289062,0.6308008432388306,537.4013061523438,1010.7780151367188,0.42132627964019775,533.0480346679688,1023.3258056640625,0.5465472340583801,534.0723266601562,1020.5089721679688,0.4588780999183655,549.9490966796875,1018.2042236328125,0.6742763519287109,551.2294311523438,1017.9481811523438,0.5002629160881042,540.7302856445312,1043.8118896484375,0.6336831450462341,544.8275146484375,1043.555908203125,0.5488924384117126,546.10791015625,1070.9560546875,0.6957902908325195,546.8761596679688,1069.16357421875,0.6202817559242249,162.7743375164069,153.4738112400178,161.38979659251635,148.99506042580748,27.668194048143448,29.009101375753644,17.67673225552721,10.284630727616756,17.17429596426289,12.610352723186507,51.400072563792804,52.89149641984173,97.980044726902,98.63073474687138,528.9508056640625,984.658203125,551.2294311523438,1070.9560546875,87.2334744322433,right_ear,left_ankle,49.3882675319157,50.311116469542156,550.5892639160156,1018.0762023925781,537.6573791503906,993.876953125,0.133333
10,19.0,530.7109375,986.5897216796875,0.7247729897499084,532.5049438476562,984.5394287109375,0.6792139410972595,529.4295043945312,984.5394287109375,0.757809042930603,535.8367309570312,985.052001953125,0.6709395051002502,528.404296875,985.5645751953125,0.5982431769371033,537.1181640625,994.5347290039062,0.7314966320991516,537.6307373046875,993.2532348632812,0.5338363647460938,538.143310546875,1011.7060546875,0.633775532245636,537.6307373046875,1010.9371948242188,0.44343385100364685,532.76123046875,1023.2390747070312,0.5554323792457581,534.0426635742188,1020.6761474609375,0.46443378925323486,549.9326171875,1018.3695678710938,0.679230809211731,550.957763671875,1018.11328125,0.5010736584663391,540.7061767578125,1043.7421875,0.6327530145645142,544.550537109375,1043.48583984375,0.55046546459198,546.0882568359375,1071.1650390625,0.6958291530609131,547.1134033203125,1069.11474609375,0.6219027638435364,159.77494003862242,151.5665254779434,160.11709155688223,148.91294302209943,27.65665215520443,29.033124747172117,17.6839599609375,10.378895488226627,17.201899634821523,12.727031733214881,51.146148659707826,52.935251816112796,97.45435857177515,98.63084857256368,528.404296875,984.5394287109375,550.957763671875,1071.1650390625,87.4080193928321,right_ear,left_ankle,49.7444237195826,50.171127902617656,550.4451904296875,1018.2414245605469,537.3744506835938,993.8939819335938,0.15
