frame,tracker_id,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf,right_elbow_angle,left_elbow_angle,right_knee_angle,left_knee_angle,right_shoulder_wrist_dist,left_shoulder_wrist_dist,right_upper_arm_len,right_forearm_len,left_upper_arm_len,left_forearm_len,right_hip_ankle_dist,left_hip_ankle_dist,right_shoulder_wrist_alpha,left_shoulder_wrist_alpha,pose_bbox_x1,pose_bbox_y1,pose_bbox_x2,pose_bbox_y2,max_kpt_distance,max_kpt_1_name,max_kpt_2_name,dist_lw_la,dist_rw_ra,mid_hip_x,mid_hip_y,mid_shoulder_x,mid_shoulder_y,timestamp
1,1.0,539.230712890625,989.4295043945312,0.6442773342132568,541.1843872070312,987.2316284179688,0.6295130252838135,538.0097045898438,987.2316284179688,0.7278735637664795,543.8706665039062,987.7200317382812,0.6842280626296997,536.30029296875,988.2084350585938,0.6817818880081177,546.0684814453125,995.5346069335938,0.7038801908493042,540.6959838867188,996.755615234375,0.6576775908470154,552.4178466796875,1006.035400390625,0.48531150817871094,543.8706665039062,1012.1405639648438,0.6126995086669922,547.7778930664062,1021.1761474609375,0.4560602605342865,540.6959838867188,1021.9087524414062,0.5903229713439941,557.7903442382812,1020.4435424804688,0.6263877153396606,550.219970703125,1021.1761474609375,0.5063745379447937,548.9989624023438,1045.3524169921875,0.5692117214202881,544.603271484375,1046.3292236328125,0.5561753511428833,553.883056640625,1070.749755859375,0.6384011507034302,550.7083740234375,1070.749755859375,0.5719753503799438,150.33639371906116,131.80257114241127,153.376145791674,149.6744290272325,25.15313720703125,25.69845693238686,15.709081996062801,10.271130212080893,12.271149176288267,15.835763050152597,49.576014235161395,50.45772488821552,90.0,86.18597947731965,536.30029296875,987.2316284179688,557.7903442382812,1070.749755859375,84.39326524005628,right_ear,left_ankle,49.94812981393398,49.85671039212172,554.0051574707031,1020.8098449707031,543.3822326660156,996.1451110839844,0.0
2,6.0,540.5948486328125,989.2054443359375,0.6936953067779541,542.2919311523438,987.0234985351562,0.6850575804710388,538.6553344726562,987.2659301757812,0.7689921855926514,544.473876953125,987.7508544921875,0.7128435373306274,536.23095703125,988.4781494140625,0.7273473739624023,545.928466796875,995.5088500976562,0.7130749225616455,540.5948486328125,996.9635009765625,0.6514074802398682,551.9894409179688,1005.6912231445312,0.4420887231826782,543.9889526367188,1012.4794921875,0.5963670015335083,548.1104125976562,1020.96484375,0.4028090238571167,540.8372802734375,1022.4194946289062,0.5649139881134033,558.0503540039062,1019.9951171875,0.6318916082382202,550.0499267578125,1020.722412109375,0.5140504837036133,549.3226318359375,1045.4510498046875,0.5580428242683411,544.473876953125,1046.4207763671875,0.5603309273719788,553.928955078125,1070.9071044921875,0.6237579584121704,550.5347900390625,1071.1495361328125,0.573742151260376,150.0687419033084,134.98704267858892,153.98621653327768,150.81861108131605,25.457148032105668,25.549334635283795,15.882881515871803,10.427688488856628,11.84973114303842,15.758500788767503,50.42945498095981,51.078531502169206,89.45435679710921,85.10089975337662,536.23095703125,987.0234985351562,558.0503540039062,1071.1495361328125,84.30748347649063,right_ear,left_ankle,50.28006408744585,49.6855979195865,554.0501403808594,1020.3587646484375,543.2616577148438,996.2361755371094,0.016667
3,11.0,540.5834350585938,989.1669921875,0.6745719909667969,542.0335083007812,986.9918823242188,0.680424690246582,538.6500854492188,987.2335815429688,0.7629003524780273,544.2086181640625,987.7169189453125,0.6960132122039795,536.2332763671875,988.4419555664062,0.7280147075653076,546.1420288085938,994.9671630859375,0.7137139439582825,540.341796875,997.1422729492188,0.6645063161849976,553.3922729492188,1004.8759155273438,0.5688185691833496,543.9669189453125,1012.6095581054688,0.6142673492431641,549.2838134765625,1019.6181640625,0.5148847699165344,540.8251342773438,1022.2765502929688,0.5865976810455322,557.742431640625,1020.1015014648438,0.6274127960205078,550.0088500976562,1020.8265380859375,0.511078953742981,549.0421142578125,1045.4774169921875,0.5594174861907959,544.4502563476562,1046.4442138671875,0.5535575747489929,553.8756713867188,1070.8533935546875,0.6342388391494751,550.25048828125,1070.8533935546875,0.5778065919876099,148.8052420277139,128.23461422983695,154.3905808921002,150.29096820098945,25.13892425377524,24.85040563142519,15.886422508841264,10.164720795627863,12.278005336525208,15.304029897735285,50.02743904201945,50.89898216625097,88.89832598099343,82.73677715669068,536.2332763671875,986.9918823242188,557.742431640625,1070.8533935546875,84.27869964185201,right_ear,left_ankle,51.44058611820227,49.482794983433806,553.8756408691406,1020.4640197753906,543.2419128417969,996.0547180175781,0.033333
4,16.0,539.6484375,989.2255249023438,0.6684873104095459,541.0787963867188,987.0799560546875,0.678909420967102,537.9796142578125,987.0799560546875,0.7661241292953491,543.9396362304688,987.5567016601562,0.7083028554916382,535.833984375,988.0335083007812,0.7098442316055298,546.0852661132812,995.185546875,0.6929137706756592,540.3636474609375,996.615966796875,0.6462898850440979,552.5220947265625,1005.91357421875,0.4603286683559418,543.9396362304688,1012.5888061523438,0.5866547226905823,547.992431640625,1020.6944580078125,0.43954044580459595,540.60205078125,1022.6016845703125,0.5668372511863708,557.7669067382812,1019.979248046875,0.6275078058242798,550.1380615234375,1020.932861328125,0.5117579102516174,548.946044921875,1045.7265625,0.5483673810958862,544.6548461914062,1046.68017578125,0.5364025831222534,553.9524536132812,1071.2354736328125,0.6182538866996765,550.37646484375,1070.9970703125,0.5668638944625854,148.94600634534686,131.99829490864377,154.73723047855538,149.9850697034588,25.986811353913385,25.580106089115695,16.368240368329914,10.554487711104747,12.510928554068395,15.459378165303916,50.06477661364635,51.39796410325351,89.47436045538512,85.72425444543956,535.833984375,987.0799560546875,557.7669067382812,1071.2354736328125,85.15189934846477,right_ear,left_ankle,50.89121851872914,49.372588866701356,553.9524841308594,1020.4560546875,543.2244567871094,995.9007568359375,0.05
5,22.0,539.6487426757812,989.3190307617188,0.6790624856948853,541.3179321289062,987.1729125976562,0.6820015907287598,537.9795532226562,987.1729125976562,0.7702468633651733,543.9409790039062,987.6498413085938,0.7002524733543396,535.8334350585938,988.1267700195312,0.7042052745819092,545.6101684570312,995.5189208984375,0.6942591667175293,540.841064453125,996.7112426757812,0.6328578591346741,551.5715942382812,1006.4879760742188,0.46798276901245117,544.179443359375,1012.4494018554688,0.5805471539497375,547.9947509765625,1021.0338134765625,0.43407678604125977,540.6026000976562,1022.2261352539062,0.5628426671028137,558.0099487304688,1020.0800170898438,0.6205166578292847,550.3793334960938,1020.79541015625,0.49545490741729736,549.18701171875,1045.594970703125,0.5463733673095703,544.4179077148438,1046.5487060546875,0.5280115008354187,553.9561767578125,1071.3482666015625,0.619674801826477,550.3793334960938,1071.10986328125,0.5743844509124756,147.92875411296697,137.66193270381348,153.32374208459504,150.43332824601885,25.51600690786251,25.626080017546816,16.088332048005377,10.410491038516199,12.484340943545462,14.979158636396278,50.314453125,51.428265333395636,90.53547563619149,84.66073398998806,535.8334350585938,987.1729125976562,558.0099487304688,1071.3482666015625,85.17189242966039,right_ear,left_ankle,50.6663871872978,49.85181422772331,554.1946411132812,1020.4377136230469,543.2256164550781,996.1150817871094,0.066667
6,26.0,539.3529052734375,989.5450439453125,0.6597722768783569,540.9998779296875,987.1922607421875,0.6741355657577515,537.9412231445312,987.1922607421875,0.7574210166931152,543.8232421875,987.6627807617188,0.6930720210075378,535.5884399414062,988.36865234375,0.7046902179718018,545.9407958984375,995.1917724609375,0.6818978190422058,540.529296875,997.0740356445312,0.6345514059066772,553.2344970703125,1005.0736083984375,0.5648540258407593,544.5291137695312,1011.896728515625,0.5619463920593262,548.76416015625,1019.896240234375,0.5009506344795227,540.9998779296875,1021.543212890625,0.5489699244499207,558.1753540039062,1020.1315307617188,0.6076359748840332,550.4111328125,1020.83740234375,0.48970919847488403,548.76416015625,1045.5418701171875,0.5237387418746948,544.5291137695312,1046.71826171875,0.504612386226654,554.1755981445312,1071.1875,0.596626341342926,550.4111328125,1071.1875,0.5697593688964844,144.8033371831626,126.78655976228744,153.67917475811902,147.76185503102104,24.47370183747818,24.865279280577266,15.352874621404002,10.271814173278095,12.282050247425193,15.482064677199153,50.35009765625,51.21240125003831,88.89824717926251,83.48020623294838,535.5884399414062,987.1922607421875,558.1753540039062,1071.1875,84.878996089593,right_ear,left_ankle,51.57593420817344,50.528476734088464,554.2932434082031,1020.4844665527344,543.2350463867188,996.1329040527344,0.083333
7,32.0,539.7667846679688,989.3211059570312,0.7038593292236328,541.4039306640625,986.9823608398438,0.7186299562454224,537.8958129882812,987.2162475585938,0.7811693549156189,543.9765625,987.6839599609375,0.7118796110153198,535.7909545898438,988.3856201171875,0.7173411250114441,545.6136474609375,995.16796875,0.6745191812515259,540.7022705078125,997.0389404296875,0.6241368055343628,552.6298828125,1004.7568359375,0.5503362417221069,544.6781616210938,1012.0068969726562,0.5527267456054688,547.718505859375,1019.9586791992188,0.48692452907562256,540.4684448242188,1021.8296508789062,0.5492342710494995,558.2428588867188,1019.9586791992188,0.5966103076934814,550.5250244140625,1020.8941650390625,0.4838522672653198,548.8878784179688,1044.9832763671875,0.510822594165802,544.6781616210938,1046.854248046875,0.5054627060890198,554.0331420898438,1070.70947265625,0.5731956362724304,550.7589111328125,1071.4110107421875,0.5663225650787354,141.92580002369462,125.90233806999062,153.39950218867133,148.19269289820434,24.79181314521614,24.87990662069447,15.487008530276912,10.686824121910174,11.881663707075264,15.975533234591927,50.5173871334469,50.92508961237218,90.54039708048099,85.14693400198776,535.7909545898438,986.9823608398438,558.2428588867188,1071.4110107421875,84.36382643945235,right_ear,right_ankle,51.14213201697202,50.637979252143346,554.3839416503906,1020.4264221191406,543.157958984375,996.1034545898438,0.1
8,37.0,536.56494140625,989.7396240234375,0.6120414137840271,538.2553100585938,987.415283203125,0.5665248036384583,536.142333984375,987.415283203125,0.6395212411880493,542.6926879882812,987.415283203125,0.5785915851593018,536.142333984375,988.0491943359375,0.5104089379310608,544.8057250976562,994.8108520507812,0.698326051235199,541.8474731445312,996.2899780273438,0.5810189247131348,552.6239013671875,1005.5872802734375,0.5136140584945679,545.2283325195312,1012.9828491210938,0.5073084831237793,546.49609375,1020.37841796875,0.46554362773895264,540.5796508789062,1022.06884765625,0.46805715560913086,557.9064331054688,1019.955810546875,0.639205813407898,554.5255737304688,1020.5897216796875,0.5513262748718262,547.9752197265625,1046.1573486328125,0.6014410257339478,547.763916015625,1046.791259765625,0.5408120155334473,553.680419921875,1075.5283203125,0.5196702480316162,553.0465087890625,1075.5283203125,0.5380363464355469,141.4548715242694,121.53584530032605,155.11365143061315,148.2491071246727,25.810026978702666,25.62338332754876,17.0317983626533,10.206155514038842,13.313725452311374,16.010239864379155,54.95850482717088,55.732961782758274,92.81557665072896,86.21746372393886,536.142333984375,987.415283203125,557.9064331054688,1075.5283203125,89.21985171459559,right_ear,left_ankle,55.61588146446166,54.89387728004251,556.2160034179688,1020.2727661132812,543.3265991210938,995.5504150390625,0.116667
9,41.0,537.8458251953125,989.2902221679688,0.6958014369010925,539.6961059570312,986.9773559570312,0.7120692729949951,536.6893920898438,987.2086181640625,0.7598714828491211,543.6279296875,987.6712036132812,0.7130725383758545,535.532958984375,988.1337890625,0.6453135013580322,545.2469482421875,994.841064453125,0.6798231601715088,541.0838012695312,996.6913452148438,0.6183648109436035,552.185546875,1004.786376953125,0.5364181399345398,544.7843627929688,1011.9562377929688,0.561974048614502,547.0972290039062,1020.05126953125,0.4693519175052643,541.0838012695312,1022.1328125,0.5286402106285095,558.198974609375,1020.05126953125,0.6039341688156128,551.0291137695312,1020.7451171875,0.486248254776001,549.1788330078125,1045.261474609375,0.5390193462371826,544.5531005859375,1046.649169921875,0.5328792333602905,554.26708984375,1071.1654052734375,0.6222192049026489,550.3352661132812,1071.396728515625,0.5872088670730591,146.39001886238813,126.66245361401617,152.81275133396767,149.19992301045573,25.44146728515625,25.27801374669905,15.707039855123618,10.828519213472092,12.126557290093663,16.09061602857354,50.65636341769437,51.26514010983413,90.0,85.80235316151732,535.532958984375,986.9773559570312,558.198974609375,1071.396728515625,85.1188401569042,right_ear,left_ankle,51.61455005261108,50.125073794955114,554.6140441894531,1020.398193359375,543.1653747558594,995.7662048339844,0.133333
10,48.0,536.6326904296875,989.4312133789062,0.6566903591156006,538.3629760742188,987.2684326171875,0.6206679344177246,535.767578125,987.4846801757812,0.6888296604156494,542.90478515625,987.4846801757812,0.6241517066955566,535.3350219726562,987.917236328125,0.5365824699401855,545.067626953125,994.4056396484375,0.7100880146026611,541.390869140625,996.3521728515625,0.594963550567627,553.2861938476562,1005.0032958984375,0.6053826808929443,545.5001831054688,1013.438232421875,0.5251991748809814,546.7978515625,1019.7103271484375,0.5465248823165894,541.174560546875,1021.8731079101562,0.4784797430038452,558.2606201171875,1019.7103271484375,0.6529281735420227,553.71875,1021.0079956054688,0.5806477069854736,548.744384765625,1045.880126953125,0.6159751415252686,545.9327392578125,1046.7452392578125,0.5545042753219604,554.3676147460938,1070.752197265625,0.5343266725540161,552.4210815429688,1070.968505859375,0.5576820373535156,139.32688621641074,118.4003688635594,148.17341828477814,147.27739921743088,25.521851728914374,25.363771144519166,17.57327211710805,9.479353090914115,13.411008902877109,16.074680519308096,49.977360156925506,51.190116193257495,90.48561201625664,86.08845170112632,535.3350219726562,987.2684326171875,558.2606201171875,1070.968505859375,84.99335468844994,right_ear,left_ankle,51.60013391179842,50.36707589594347,555.9896850585938,1020.3591613769531,543.229248046875,995.37890625,0.15
