frame,tracker_id,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf,right_elbow_angle,left_elbow_angle,right_knee_angle,left_knee_angle,right_shoulder_wrist_dist,left_shoulder_wrist_dist,right_upper_arm_len,right_forearm_len,left_upper_arm_len,left_forearm_len,right_hip_ankle_dist,left_hip_ankle_dist,right_shoulder_wrist_alpha,left_shoulder_wrist_alpha,pose_bbox_x1,pose_bbox_y1,pose_bbox_x2,pose_bbox_y2,max_kpt_distance,max_kpt_1_name,max_kpt_2_name,dist_lw_la,dist_rw_ra,mid_hip_x,mid_hip_y,mid_shoulder_x,mid_shoulder_y,timestamp
1,1.0,536.4606323242188,986.7924194335938,0.6789251565933228,538.2351684570312,984.5108642578125,0.6376699209213257,536.2071533203125,984.5108642578125,0.693510890007019,542.2911987304688,984.764404296875,0.6506913304328918,537.4746704101562,985.0178833007812,0.5513445138931274,545.3331909179688,993.1299438476562,0.7225502133369446,544.3192138671875,992.3694458007812,0.5735518336296082,546.6007080078125,1010.8751220703125,0.5576134920120239,547.3612060546875,1008.340087890625,0.4380059242248535,540.0096435546875,1016.4521484375,0.5135682821273804,541.5307006835938,1013.9171142578125,0.4725986421108246,557.7548217773438,1017.7196655273438,0.6537248492240906,552.9382934570312,1017.212646484375,0.4899646043777466,550.1497192382812,1043.06982421875,0.6182907223701477,545.5867309570312,1042.8162841796875,0.5631396770477295,553.9522705078125,1069.6875,0.6647207736968994,550.65673828125,1068.927001953125,0.5930011868476868,122.94290151733045,126.15058454495815,152.99108289932659,155.1704841541433,21.727351925837986,23.922068962772173,16.25777122580767,8.068334151648509,17.790389251696535,8.633965121863335,51.76466029607813,52.10676746771779,97.37374382663555,102.85809172212508,536.2071533203125,984.5108642578125,557.7548217773438,1069.6875,86.25807380744659,right_ear,left_ankle,55.03089588891842,55.76174590599481,555.3465576171875,1017.4661560058594,544.8262023925781,992.7496948242188,0.0
2,9.0,536.1203002929688,986.3646850585938,0.6914767622947693,537.9052124023438,984.06982421875,0.6491187810897827,536.1203002929688,984.3248291015625,0.6994715929031372,542.2398681640625,984.579833984375,0.6602602005004883,537.3952026367188,984.8347778320312,0.5375786423683167,545.044677734375,992.7391967773438,0.7255313396453857,544.53466796875,992.229248046875,0.56871497631073,546.8295288085938,1010.3328247070312,0.5485506057739258,547.594482421875,1008.2930297851562,0.4256991147994995,540.2000122070312,1015.6874389648438,0.5120569467544556,541.4749145507812,1013.902587890625,0.4635850489139557,557.793701171875,1017.727294921875,0.6515728235244751,552.9490356445312,1017.2173461914062,0.48293137550354004,550.144287109375,1042.9703369140625,0.6144088506698608,545.5546264648438,1042.9703369140625,0.5572224259376526,553.7139892578125,1069.7432861328125,0.661118745803833,550.9091796875,1068.723388671875,0.5846115946769714,121.72575599569157,123.13480277123922,152.23419161048986,155.546993641929,21.88825600548049,23.454053030723447,16.35260065624703,8.301581359449116,17.683931607123455,8.521876801524515,51.546420092236154,52.175735653252374,98.03567907055651,101.92082607209382,536.1203002929688,984.06982421875,557.793701171875,1069.7432861328125,86.46246340839836,right_ear,left_ankle,55.71949558974702,55.62666228498172,555.3713684082031,1017.4723205566406,544.7896728515625,992.4842224121094,0.016667
3,16.0,535.8235473632812,986.4765014648438,0.6855409145355225,537.5518188476562,984.2544555664062,0.6427333354949951,536.0704956054688,984.2544555664062,0.691459596157074,541.9959716796875,984.7482299804688,0.6493262648582458,537.304931640625,984.7482299804688,0.5112089514732361,545.2056274414062,993.1427001953125,0.7340149879455566,544.218017578125,992.4020385742188,0.5914486050605774,546.6869506835938,1011.1660766601562,0.5691598057746887,547.1807861328125,1008.6971435546875,0.4637017548084259,540.0208129882812,1016.3508911132812,0.5327556133270264,541.2552490234375,1014.375732421875,0.5044825673103333,557.7973022460938,1017.5853271484375,0.6528360247612,553.6000366210938,1017.091552734375,0.48660221695899963,550.1434936523438,1043.262451171875,0.6188002228736877,545.6994018554688,1043.015625,0.5496622323989868,554.0938720703125,1070.174072265625,0.6866370439529419,550.8842163085938,1069.1865234375,0.6183404922485352,123.47594611216972,123.1766792044844,151.84486953134333,155.0509379435905,22.172532981578158,23.780294922439904,16.562259623407144,8.207213994841736,18.084148244839415,8.445098737504502,52.165713380814026,52.71898622002703,97.67902351971202,102.59334369728816,535.8235473632812,984.2544555664062,557.7973022460938,1070.174072265625,87.05999684631274,right_ear,left_ankle,55.63259675122449,55.65015563982843,555.6986694335938,1017.3384399414062,544.7118225097656,992.7723693847656,0.033333
4,23.0,535.8030395507812,986.6026611328125,0.6896356344223022,537.5248413085938,984.3889770507812,0.6490985155105591,535.8030395507812,984.3889770507812,0.6920125484466553,541.9523315429688,984.6349487304688,0.6507071256637573,537.5248413085938,984.6349487304688,0.5007058382034302,544.9039306640625,993.243896484375,0.7305783629417419,544.4120483398438,992.5059814453125,0.5859414339065552,546.625732421875,1011.19970703125,0.5585463047027588,546.8717041015625,1008.9859619140625,0.4491427540779114,540.2305297851562,1016.3650512695312,0.536347508430481,541.2144165039062,1014.3972778320312,0.4929683208465576,557.6943969726562,1017.8408813476562,0.6536219120025635,553.512939453125,1017.3489379882812,0.4879894256591797,550.0693359375,1043.4217529296875,0.6229686141014099,545.641845703125,1043.17578125,0.5637683868408203,554.0048217773438,1069.986572265625,0.6879699230194092,550.8072509765625,1069.002685546875,0.6163457632064819,125.23815736734504,123.45007395667798,151.7406777872429,154.97503034160263,22.12360067550864,23.588736175855534,16.662522699655586,7.82861692297287,18.03817434466342,8.220668942649361,51.72456270457135,52.27605614843371,98.31034570643972,101.42704439649731,535.8030395507812,984.3889770507812,557.6943969726562,1069.986572265625,86.92807024395181,right_ear,left_ankle,55.36242980416018,55.441618166537125,555.6036682128906,1017.5949096679688,544.6579895019531,992.8749389648438,0.05
5,30.0,535.5955200195312,986.4798583984375,0.7206945419311523,537.3153686523438,984.5142822265625,0.6857963800430298,535.5955200195312,984.5142822265625,0.7055163383483887,541.7378540039062,984.760009765625,0.6792892217636108,537.3153686523438,984.760009765625,0.4771689176559448,545.1775512695312,993.1135864257812,0.7248885631561279,543.7034301757812,992.867919921875,0.5893107652664185,546.8974609375,1010.557861328125,0.5227618217468262,546.6517333984375,1008.8379516601562,0.4616619944572449,540.7550659179688,1015.9630737304688,0.5214501619338989,541.2464599609375,1014.734619140625,0.4991888403892517,557.9536743164062,1017.6829223632812,0.6510279774665833,553.2854614257812,1017.437255859375,0.483578085899353,549.8457641601562,1043.235107421875,0.6153823137283325,545.6689453125,1043.235107421875,0.5525251030921936,553.77685546875,1070.2613525390625,0.6781727075576782,551.07421875,1069.032958984375,0.6003450155258179,127.02970618787138,125.71642585136706,151.71771119158984,154.11946061084635,22.004300428777807,23.273535330324442,16.23990165039295,7.9992292322048595,17.528856669347046,8.182013058557962,51.643065121411325,52.74407204071033,96.41093761882586,100.95407216089538,535.5955200195312,984.5142822265625,557.9536743164062,1070.2613525390625,87.0715806923681,right_ear,left_ankle,55.837891119566976,55.180563177656715,555.6195678710938,1017.5600891113281,544.4404907226562,992.9907531738281,0.066667
6,37.0,535.4063720703125,986.5427856445312,0.7115868330001831,537.1248779296875,984.3333129882812,0.675237238407135,535.65185546875,984.3333129882812,0.6952747702598572,541.5438232421875,984.8243408203125,0.6704729199409485,537.6158447265625,984.8243408203125,0.4810354709625244,544.9807739257812,993.1712036132812,0.7238450050354004,543.998779296875,992.6802368164062,0.5867153406143188,546.6992797851562,1010.3560180664062,0.5235600471496582,546.4537353515625,1008.1465454101562,0.43591153621673584,540.8073120117188,1016.2479858398438,0.5226788520812988,541.29833984375,1014.5294799804688,0.4771241545677185,557.7466430664062,1017.9664306640625,0.6488792896270752,553.3276977539062,1017.4754638671875,0.4832439422607422,549.8906860351562,1043.252685546875,0.6217321157455444,545.71728515625,1043.252685546875,0.5576930046081543,553.8186645507812,1070.25732421875,0.6826959848403931,550.8726806640625,1069.0299072265625,0.6006897687911987,132.05346314566944,129.28932594391674,152.24157429836353,154.46501958076365,22.015490003230134,23.451133496705893,15.659933293202494,8.204873952161833,17.270527211901786,8.33250073426052,51.61286408451318,52.43821663602673,97.04569473023666,100.25120187295772,535.4063720703125,984.3333129882812,557.7466430664062,1070.25732421875,86.9558854972669,right_ear,left_ankle,55.55451311120424,55.33502120854622,555.5371704101562,1017.720947265625,544.4897766113281,992.9257202148438,0.083333
7,44.0,535.281982421875,986.7103271484375,0.7390472292900085,537.2330322265625,984.515380859375,0.7044374942779541,535.281982421875,984.515380859375,0.7147027850151062,541.6229248046875,985.0031127929688,0.6957772970199585,537.7208251953125,984.7592163085938,0.4699876308441162,544.7933959960938,993.295166015625,0.7339968681335449,545.0372924804688,992.3196411132812,0.5822972655296326,546.0128173828125,1010.366943359375,0.534817636013031,546.5006103515625,1006.95263671875,0.390752375125885,540.6473999023438,1016.7079467773438,0.5442537069320679,541.3790283203125,1014.5130004882812,0.450641393661499,557.475341796875,1018.1712036132812,0.6526706218719482,553.5731811523438,1017.4395751953125,0.480613112449646,549.9149780273438,1043.2911376953125,0.6230494976043701,545.5250244140625,1043.04736328125,0.5597360134124756,553.8170776367188,1070.1182861328125,0.6850833892822266,550.6466064453125,1068.89892578125,0.6064757108688354,140.1746271859812,135.67824260772417,151.34677633598062,154.9739173976794,22.49284546279959,23.777039063047734,14.705980401915749,9.131796254322785,17.11527300959476,8.306384838569123,51.54250287134164,52.07573599054048,99.36023631741865,100.04198290382118,535.281982421875,984.515380859375,557.475341796875,1070.1182861328125,86.86345689594289,right_ear,left_ankle,55.01004237131277,55.169891011994544,555.5242614746094,1017.8053894042969,544.9153442382812,992.8074035644531,0.1
8,52.0,535.3217163085938,986.5736083984375,0.7274531126022339,537.0264282226562,984.6253662109375,0.690038800239563,535.3217163085938,984.3818359375,0.7014670372009277,541.653564453125,984.868896484375,0.6891663074493408,537.7570190429688,984.868896484375,0.47411972284317017,544.575927734375,993.3924560546875,0.7334898710250854,544.8194580078125,992.4183349609375,0.5887216329574585,545.7935791015625,1010.9266967773438,0.5491797924041748,546.7677001953125,1008.0043334960938,0.41830313205718994,540.1923828125,1017.0150146484375,0.5438311100006104,541.4100341796875,1014.5796508789062,0.4788605868816376,557.4830322265625,1018.232666015625,0.6568132638931274,553.5865478515625,1017.5020751953125,0.4848366677761078,549.93359375,1043.3162841796875,0.6305539608001709,545.550048828125,1043.07275390625,0.5678876638412476,553.830078125,1070.104736328125,0.6891171336174011,550.6641845703125,1068.8870849609375,0.6096509695053101,133.70135288463092,133.41374770033173,151.34691557011885,154.97387968429027,22.42204482324932,24.025834857445602,15.707291235571065,8.48170877946769,17.57646928629497,8.272908458824324,51.46804285924398,52.00053607582393,98.7461385469386,100.51257405661414,535.3217163085938,984.3818359375,557.4830322265625,1070.104736328125,86.73806328321994,right_ear,left_ankle,54.813367725977805,55.0902595385652,555.5347900390625,1017.8673706054688,544.6976928710938,992.9053955078125,0.116667
9,60.0,535.3418579101562,986.5285034179688,0.723893404006958,536.8314819335938,984.2940063476562,0.6741820573806763,535.3418579101562,984.5422973632812,0.6980603933334351,541.3004150390625,984.7905883789062,0.6566176414489746,537.8245849609375,984.5422973632812,0.4801449477672577,544.7762451171875,992.487060546875,0.7309595346450806,544.7762451171875,992.2388305664062,0.575360894203186,546.2659301757812,1009.8662719726562,0.5094966888427734,547.0107421875,1008.1283569335938,0.40976905822753906,541.0521240234375,1015.5765991210938,0.5204198360443115,541.0521240234375,1014.335205078125,0.4568653106689453,557.6865234375,1017.5628051757812,0.6515085697174072,553.2175903320312,1017.0662231445312,0.4845367670059204,549.9900512695312,1043.1351318359375,0.6305058598518372,545.5211181640625,1043.1351318359375,0.5795419812202454,553.96240234375,1069.94873046875,0.6875226497650146,550.486572265625,1069.203857421875,0.6154095530509949,128.1640843857985,132.7031840665359,152.76725775379074,154.82294677196964,22.408008489891458,23.38794282298572,16.04587253254811,8.60407428573037,17.44293987135778,7.732503523206432,52.20911192231762,52.51813255173318,99.56671884315296,99.16235180753335,535.3418579101562,984.2940063476562,557.6865234375,1069.94873046875,86.91770800981762,right_ear,left_ankle,55.883843403927706,55.67385224370429,555.4520568847656,1017.3145141601562,544.7762451171875,992.3629455566406,0.133333
10,68.0,535.4829711914062,986.60498046875,0.7218265533447266,536.9692993164062,984.3754272460938,0.6745240092277527,535.4829711914062,984.3754272460938,0.7026014924049377,541.1806030273438,984.8709106445312,0.6629941463470459,537.7124633789062,984.6231689453125,0.491339772939682,544.8964233398438,993.0457153320312,0.7443406581878662,543.905517578125,992.3025512695312,0.5974060297012329,546.6304931640625,1011.1294555664062,0.5556269884109497,546.878173828125,1008.6522827148438,0.465472012758255,540.932861328125,1016.5794067382812,0.5284358859062195,541.1806030273438,1014.349853515625,0.49938398599624634,557.7780151367188,1017.8179931640625,0.6584186553955078,553.3189697265625,1017.3225708007812,0.49922502040863037,549.8508911132812,1043.085693359375,0.6392795443534851,545.6395874023438,1043.085693359375,0.5853853225708008,554.0621337890625,1070.08740234375,0.7010802030563354,550.5940551757812,1069.0965576171875,0.6287897229194641,124.69522852456628,128.24978453123452,152.61758089346029,153.7174691562753,22.215055607395403,23.865130526048777,16.617773723170757,8.057581899045779,18.166690921013085,7.8844769207418075,51.84564465964781,52.40132546208597,97.04568486621848,99.56007974941328,535.4829711914062,984.3754272460938,557.7780151367188,1070.08740234375,87.01406158146705,right_ear,left_ankle,55.09522110917057,55.550109732879584,555.5484924316406,1017.5702819824219,544.4009704589844,992.6741333007812,0.15
