frame,tracker_id,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf,right_elbow_angle,left_elbow_angle,right_knee_angle,left_knee_angle,right_shoulder_wrist_dist,left_shoulder_wrist_dist,right_upper_arm_len,right_forearm_len,left_upper_arm_len,left_forearm_len,right_hip_ankle_dist,left_hip_ankle_dist,right_shoulder_wrist_alpha,left_shoulder_wrist_alpha,pose_bbox_x1,pose_bbox_y1,pose_bbox_x2,pose_bbox_y2,max_kpt_distance,max_kpt_1_name,max_kpt_2_name,dist_lw_la,dist_rw_ra,mid_hip_x,mid_hip_y,mid_shoulder_x,mid_shoulder_y,timestamp
1,2.0,539.7980346679688,987.72265625,0.7166205644607544,541.2947387695312,985.4775390625,0.6954538226127625,537.8023681640625,985.7269897460938,0.7635980844497681,543.2904052734375,986.475341796875,0.7044727206230164,534.8088989257812,987.2237548828125,0.7655478715896606,544.2882080078125,994.9569091796875,0.7218915224075317,539.7980346679688,994.9569091796875,0.6219090223312378,543.789306640625,1011.6704711914062,0.576053261756897,543.5398559570312,1010.922119140625,0.5510991811752319,538.5507202148438,1021.6487426757812,0.5821588039398193,540.2969360351562,1020.900390625,0.5156436562538147,557.5093994140625,1018.1563110351562,0.6668070554733276,550.2752075195312,1018.6552734375,0.5252032279968262,550.0256958007812,1043.3514404296875,0.598933219909668,544.787109375,1044.099853515625,0.5824388861656189,554.765380859375,1070.7916259765625,0.6467954516410828,550.524658203125,1070.542236328125,0.6092405915260315,148.80540657996784,154.01033064506458,155.58599482797825,153.6571302297539,25.948278017576726,27.301515371086232,16.397839969218484,10.492017510259169,16.72100647968745,11.269813199706144,51.88756251411933,52.706792890570505,88.89831979736528,102.13130234068645,534.8088989257812,985.4775390625,557.5093994140625,1070.7916259765625,85.91769462868211,right_ear,left_ankle,51.74879900955688,50.6845059713324,553.8923034667969,1018.4057922363281,542.0431213378906,994.9569091796875,0.0
2,8.0,539.9525756835938,987.6309814453125,0.7321313619613647,541.2005004882812,985.3847045898438,0.7104517221450806,537.9558715820312,985.8838500976562,0.7743147611618042,543.44677734375,986.383056640625,0.7162968516349792,534.9608764648438,987.1317749023438,0.7792810201644897,544.4451293945312,994.8689575195312,0.7224674224853516,539.7030029296875,994.8689575195312,0.629372775554657,543.6964111328125,1011.5912475585938,0.5755335092544556,543.44677734375,1010.8424682617188,0.5596177577972412,538.455078125,1022.0738525390625,0.5694506168365479,540.2021484375,1020.825927734375,0.512543797492981,557.4236450195312,1018.0805053710938,0.670320987701416,550.1856079101562,1018.8292236328125,0.5387587547302246,550.1856079101562,1043.0390625,0.6049450635910034,544.6947021484375,1044.0374755859375,0.5992923974990845,554.9277954101562,1070.7431640625,0.6489408016204834,550.684814453125,1070.49365234375,0.6177158355712891,148.80526173832385,155.9984447599524,154.95407463995673,154.11438379866422,25.96176898772992,27.856543705839194,16.406367431402007,10.497479687117421,16.73904307856217,11.719922306710615,51.666840441429024,52.72176861335518,88.89835345273798,102.41741092180436,534.9608764648438,985.3847045898438,557.4236450195312,1070.7431640625,85.96244673960702,right_ear,left_ankle,51.381439245335386,50.761886831242336,553.8046264648438,1018.4548645019531,542.0740661621094,994.8689575195312,0.016667
3,14.0,539.7061157226562,987.269287109375,0.7380490303039551,541.212158203125,985.2612915039062,0.710930347442627,537.6981201171875,985.5123291015625,0.7773568630218506,543.4711303710938,986.2653198242188,0.7194225788116455,534.9371337890625,987.018310546875,0.7783886790275574,544.4751586914062,994.5482788085938,0.717100977897644,539.4551391601562,994.79931640625,0.631033718585968,543.97314453125,1011.3652954101562,0.55820631980896,543.4711303710938,1010.86328125,0.5610504746437073,538.451171875,1021.65625,0.5593892335891724,540.4591674804688,1020.4012451171875,0.5229213833808899,557.527099609375,1018.1422729492188,0.6743106245994568,550.2481079101562,1018.895263671875,0.5415784120559692,550.2481079101562,1042.9912109375,0.603428840637207,544.7261352539062,1043.9952392578125,0.5932428240776062,554.76611328125,1070.8521728515625,0.6528650522232056,550.4991455078125,1070.3502197265625,0.6175992488861084,148.43832797362776,153.49251698944695,155.2372391233987,154.46207569907347,25.62160858704846,27.769236922867496,16.55835595424749,10.002233509885501,16.824507885647833,11.678866742394094,51.455568430105394,52.78216169520903,87.75418790513667,102.52879404982507,534.9371337890625,985.2612915039062,557.527099609375,1070.8521728515625,86.14699586533993,right_ear,left_ankle,51.830648638679605,50.9480247243947,553.8876037597656,1018.5187683105469,541.9651489257812,994.6737976074219,0.033333
4,20.0,539.7659912109375,987.2219848632812,0.7076218128204346,541.273681640625,985.2117919921875,0.6893799304962158,537.7557983398438,985.4630737304688,0.7568490505218506,543.2838745117188,986.2169189453125,0.7080339193344116,534.9917602539062,986.7194213867188,0.7713609933853149,544.2890014648438,994.5089721679688,0.7242954969406128,539.5147094726562,994.76025390625,0.6310194134712219,543.7864379882812,1011.8470458984375,0.5831807851791382,543.53515625,1011.0932006835938,0.5658351182937622,537.7557983398438,1021.8980712890625,0.5754159688949585,540.0172729492188,1020.8929443359375,0.5242708921432495,557.3553466796875,1018.12890625,0.6759822964668274,550.319580078125,1018.8827514648438,0.543460488319397,550.319580078125,1043.2564697265625,0.6176847815513611,544.79150390625,1044.0103759765625,0.5984979867935181,555.0938720703125,1070.8968505859375,0.6687362194061279,550.319580078125,1070.6456298828125,0.6336873173713684,146.4242778548298,150.69645805093776,155.86746242984898,154.55771211728245,26.137522436945993,28.157512207892378,16.820497695401208,10.412035275082735,17.345355883669413,11.721421670270837,51.76287841796875,52.81638208784701,88.89826815983767,103.41623003131248,534.9917602539062,985.2117919921875,557.3553466796875,1070.8968505859375,86.54440759557365,right_ear,left_ankle,51.97585182820034,50.80814158483399,553.8374633789062,1018.5058288574219,541.90185546875,994.6346130371094,0.05
5,26.0,539.5154418945312,987.02978515625,0.7610077857971191,541.0261840820312,985.0154418945312,0.7326629757881165,537.5010375976562,985.2672119140625,0.7954181432723999,543.2923583984375,986.0225830078125,0.7362948656082153,534.7312622070312,986.7780151367188,0.7917722463607788,544.299560546875,994.5836791992188,0.7175562381744385,539.2636108398438,994.83544921875,0.631445050239563,543.7959594726562,1011.9576416015625,0.5751882791519165,543.7959594726562,1010.950439453125,0.5777772665023804,538.004638671875,1022.28125,0.5527961254119873,540.2708129882812,1020.7705078125,0.5313069224357605,557.3929443359375,1018.000732421875,0.6725184917449951,550.0908813476562,1018.756103515625,0.5410630702972412,550.0908813476562,1042.9285888671875,0.6110477447509766,544.5513305664062,1043.935791015625,0.5982166528701782,555.1267700195312,1070.8779296875,0.6558637619018555,550.3426513671875,1070.6260986328125,0.6263080835342407,144.54453232259777,152.36882649491608,155.35015104164577,153.459307119563,25.954608847545032,28.403898846402118,16.74022384507922,10.433618754732196,17.381259551597765,11.837072568074037,51.87060614259091,52.925736052511915,87.7760047738469,102.80430426533263,534.7312622070312,985.0154418945312,557.3929443359375,1070.8779296875,86.53769332711877,right_ear,left_ankle,51.52479654046067,50.8627748394957,553.7419128417969,1018.37841796875,541.7815856933594,994.7095642089844,0.066667
6,32.0,539.6285400390625,987.1143188476562,0.7612036466598511,540.8895874023438,984.844482421875,0.7366129159927368,537.6109619140625,985.348876953125,0.7998781800270081,543.1593627929688,985.8533325195312,0.7363684177398682,534.8367919921875,986.8621215820312,0.8010716438293457,544.6725463867188,994.9324951171875,0.7199493646621704,539.3763427734375,994.9324951171875,0.6321554183959961,544.1681518554688,1012.0820922851562,0.5970802307128906,543.6637573242188,1010.8211059570312,0.5852572321891785,538.3675537109375,1022.4223022460938,0.5571891069412231,539.8807373046875,1020.6569213867188,0.5380753874778748,557.5347900390625,1018.1348876953125,0.6772474050521851,549.96875,1018.8915405273438,0.5460860729217529,550.220947265625,1043.1026611328125,0.6267846822738647,544.4203491210938,1044.111572265625,0.6159431338310242,555.0127563476562,1070.8447265625,0.6802724003791809,550.47314453125,1070.592529296875,0.6408243179321289,143.86127980759835,152.39333500283212,154.7175822087472,153.87319526856186,25.729370780096904,28.203588931661162,16.45690973270046,10.538240158349634,17.157013052007528,11.856090454724546,51.70344914597431,52.77014086910758,88.87671060855209,102.91779510371045,534.8367919921875,984.844482421875,557.5347900390625,1070.8447265625,86.37214526094972,right_ear,left_ankle,51.203456401843816,51.04668479157283,553.7517700195312,1018.5132141113281,542.0244445800781,994.9324951171875,0.083333
7,38.0,538.706787109375,987.231201171875,0.7052205204963684,540.2208862304688,984.9600830078125,0.6827608346939087,536.9403686523438,985.4647827148438,0.7479684352874756,542.9966430664062,985.7171630859375,0.7050861120223999,534.6692504882812,986.7265014648438,0.7270143032073975,544.2583618164062,994.5491943359375,0.6975576877593994,539.4638061523438,994.5491943359375,0.5989624261856079,543.753662109375,1011.456298828125,0.5873286724090576,543.5013427734375,1010.6992797851562,0.5519515872001648,538.2020874023438,1022.30712890625,0.5789645314216614,539.968505859375,1021.2977905273438,0.5152322053909302,557.3803100585938,1018.0172729492188,0.6616131663322449,550.0623168945312,1018.52197265625,0.5203262567520142,550.3146362304688,1042.9993896484375,0.6172776222229004,544.5107421875,1043.7564697265625,0.5987175703048706,554.8568725585938,1070.75732421875,0.6748427152633667,550.3146362304688,1070.252685546875,0.6272708177566528,147.52875627565825,154.61434835410498,155.23733351659826,154.914177331784,26.753357172609018,28.41093788293829,16.647130743276463,11.17181125035804,16.9146357957842,12.188539498729588,51.73132823753478,52.80038583882878,88.91905608633077,102.30801144436226,534.6692504882812,984.9600830078125,557.3803100585938,1070.75732421875,86.42175222449599,right_ear,left_ankle,51.232834143937836,50.03622847526574,553.7213134765625,1018.2696228027344,541.861083984375,994.5491943359375,0.1
8,44.0,538.6058959960938,987.47119140625,0.6967989206314087,540.3622436523438,985.4638671875,0.6834391355514526,536.8495483398438,985.7147827148438,0.7439740896224976,542.871337890625,985.9656982421875,0.7098019123077393,534.59130859375,986.7184448242188,0.7242596745491028,544.1259155273438,994.4966430664062,0.7116416692733765,539.6094970703125,994.2457275390625,0.5941314697265625,543.875,1011.5584716796875,0.6059315204620361,543.875,1010.0530395507812,0.5316711664199829,537.8531494140625,1022.0966796875,0.6109344959259033,540.3622436523438,1020.5912475585938,0.50831538438797,557.424072265625,1018.0821533203125,0.6612013578414917,549.8967895507812,1018.5839233398438,0.5194294452667236,550.147705078125,1043.173095703125,0.6256967782974243,544.627685546875,1043.92578125,0.6115418672561646,554.9149780273438,1071.0240478515625,0.6799829006195068,550.3986206054688,1070.271240234375,0.634037971496582,146.4637253300066,151.09759208299155,155.89894417807093,154.1146169426449,26.356271597406973,28.303879878872536,16.372709863642015,11.108253020791468,17.063673526847758,12.137401389724216,51.68975297061444,53.00131838411734,88.36338506411863,102.80432630605678,534.59130859375,985.4638671875,557.424072265625,1071.0240478515625,86.7207370877927,right_ear,left_ankle,51.816921474463335,50.68363182143617,553.6604309082031,1018.3330383300781,541.8677062988281,994.3711853027344,0.116667
9,50.0,538.4810180664062,987.2821044921875,0.7194731831550598,540.2451782226562,985.2659301757812,0.7007115483283997,536.7168579101562,985.5179443359375,0.7632007002830505,543.0174560546875,985.7699584960938,0.7186622619628906,534.70068359375,986.778076171875,0.7322238683700562,544.0255737304688,994.5908203125,0.7031770944595337,539.7411499023438,994.3388061523438,0.5842511653900146,543.7735595703125,1011.2244262695312,0.6270257234573364,543.5215454101562,1010.4683837890625,0.5093576908111572,537.9769897460938,1022.0615234375,0.6177971959114075,539.9931640625,1021.0534057617188,0.48670023679733276,557.130859375,1018.0291137695312,0.6561208367347717,549.8221435546875,1018.5331420898438,0.5131165981292725,550.0741577148438,1043.2315673828125,0.6227697134017944,544.5296020507812,1043.9876708984375,0.6078584790229797,555.1146240234375,1070.9542236328125,0.676794171333313,550.326171875,1070.4501953125,0.6304520964622498,148.374155031074,152.72648466279895,155.8989377992267,154.05290933548218,26.715788280081465,28.12872016992459,16.566673321292555,11.157605706248278,16.63551496860571,12.289951047707216,51.91949980375195,52.96350119689295,89.45951203992897,102.41742351208737,534.70068359375,985.2659301757812,557.130859375,1070.9542236328125,86.61612300970486,right_ear,left_ankle,51.80921386213748,50.46596742734016,553.4765014648438,1018.2811279296875,541.8833618164062,994.4648132324219,0.133333
10,56.0,539.3290405273438,987.159912109375,0.7466762065887451,540.847412109375,985.1353759765625,0.7243292331695557,537.3045043945312,985.388427734375,0.7879283428192139,543.1250610351562,985.8945922851562,0.7381817698478699,534.7738037109375,986.65380859375,0.7823853492736816,544.390380859375,994.751953125,0.7238277196884155,539.3290405273438,994.4989013671875,0.6108859181404114,543.8842163085938,1011.4544067382812,0.6424565315246582,543.6311645507812,1010.442138671875,0.5272842645645142,537.8106079101562,1021.5770874023438,0.6233794093132019,540.0882568359375,1020.311767578125,0.48631933331489563,557.2968139648438,1018.0341186523438,0.6744483709335327,549.9578857421875,1018.540283203125,0.5384823083877563,549.9578857421875,1043.0877685546875,0.626457929611206,544.6434326171875,1044.10009765625,0.6184816360473633,555.0192260742188,1070.672119140625,0.6822118759155273,550.4639892578125,1070.4190673828125,0.636594831943512,145.1523147726328,150.77204895919377,155.7837950927076,153.27587124185087,25.824028954192908,27.62030486907763,16.513481972818973,10.486265771140122,16.71012146144604,11.804972799805824,51.881252767556816,52.687251797790886,88.31528383264904,103.78164363820648,534.7738037109375,985.1353759765625,557.2968139648438,1070.672119140625,86.4231082166036,right_ear,left_ankle,52.02363578700882,51.17027767178114,553.6273498535156,1018.2872009277344,541.8597106933594,994.6254272460938,0.15
